Stations_id,von_datum,bis_datum,Stationshoehe,geoBreite,geoLaenge,Stationsname,Bundesland,Abgabe,distance_to_nearest_nuclear_km,nearest_nuclear_plant,nearest_nuclear_plant_id
05906,17810101,20260702,98,49.5063,8.5584,Mannheim,Baden-Württemberg,Frei,29.568,Kernkraftwerk Philippsburg 2,BNA0802
06108,20010627,20260702,7,53.7197,9.4192,Ruthenstrom,Niedersachsen,Frei,15.383,Brokdorf,BNA0157
06182,20000401,20120327,404,48.7757,12.1743,Mallersdorf-Pfaffenberg,Bayern,Frei,20.989,Isar 2,BNA0263
06197,20001011,20260702,258,51.8664,9.271,Lügde-Paenbruch,Nordrhein-Westfalen,Frei,21.202,Grohnde,BNA0251
06243,20180712,20260702,96,49.2506,8.4422,Philippsburg KKW,Baden-Württemberg,,0.545,Kernkraftwerk Philippsburg 2,BNA0802
06245,20180611,20260702,180,49.0423,9.1733,Neckarwestheim KKW,Baden-Württemberg,,0.181,Gemeinschaftskernkraftwerk Neckarwestheim II,BNA0686
06347,20050301,20260702,305,50.0579,10.2972,Schonungen-Mainberg,Bayern,Frei,11.609,Grafenrheinfeld,BNA0355
07331,20050901,20260702,467,48.6099,10.2674,Hermaringen-Allewind,Baden-Württemberg,Frei,14.195,Kernkraft Gundremmingen,BNA0382
07367,20071201,20260702,144,51.9643,9.8072,Alfeld,Niedersachsen,Frei,28.095,Grohnde,BNA0251
07395,20071201,20260702,351,48.6595,12.5388,Gottfrieding,Bayern,Frei,18.923,Isar 2,BNA0263
13675,20071101,20260702,75,52.0818,9.4077,Hameln-Hastenbeck,Niedersachsen,Frei,5.148,Grohnde,BNA0251
13710,20080401,20250815,490,48.5734,12.2576,Landshut-Reithof,Bayern,Frei,4.431,Isar 2,BNA0263
15547,20161001,20260702,214,49.1259,9.1428,Heilbronn/Neckar,Baden-Württemberg,Frei,9.715,Gemeinschaftskernkraftwerk Neckarwestheim II,BNA0686
15813,20220301,20260702,40,52.5126,7.4131,Lingen-Baccum,Niedersachsen,Frei,7.974,Kernkraftwerk Emsland,BNA0607
19172,20200901,20260702,48,54.0246,9.388,Wacken,Schleswig-Holstein,Frei,19.488,Brokdorf,BNA0157
19985,19810101,20031231,455,48.8457,8.9073,Weissach/Strudelbach,Baden-Württemberg,Frei,29.23,Gemeinschaftskernkraftwerk Neckarwestheim II,BNA0686
