# Dataset: annual water temperature at German monitoring sites (EEA Waterbase v2020_1).
# Source: data/raw/waterbase/ Aggregated + Spatial files, determinand 'Water temperature'.
# Site filter: monitoring sites within the study radius of a study reactor.
# Window filter: observation years 2006-2018 (inclusive).
# Added columns: nearest study reactor, its group and the distance in km.
# River position added by river_position.py: each site is matched to its
# study river and classified upstream/downstream of the nearest reactor, with
# an approximate along-flow distance and distance band. Flow direction is a
# per-river heuristic (see the module); the up/down sign is robust, the distance
# is approximate. Filter on position=downstream for the plume-exposed sample;
# downstream_of_shock=1 marks sites below a 2011/staggered shutdown.
site_id,site_name,water_body_name,latitude,longitude,year,mean_value,min_value,max_value,sample_count,unit,nearest_reactor,nearest_group,distance_km,study_river,position,nearest_upstream_plant,nearest_upstream_group,along_river_km,distance_band,downstream_of_shock
DESM_DENI_49572011,FARGE,WESER / TIDEBEREICH OBERH. BRAKE,53.20889,8.50524,2010,12.45,2.1,25.0,12,Cel,Unterweser,treatment,24.503,Weser,downstream,Grohnde,control,143.1,>50,0
DESM_DENI_49572011,FARGE,WESER / TIDEBEREICH OBERH. BRAKE,53.20889,8.50524,2011,12.35,4.0,20.3,12,Cel,Unterweser,treatment,24.503,Weser,downstream,Grohnde,control,143.1,>50,0
DESM_DENI_49692157,REITHÖRNE048,HUNTE TIDEBEREICH,53.16126,8.32211,2008,11.8708,4.6,21.5,24,Cel,Unterweser,treatment,31.457,,off_river,,,,,0
DESM_DENI_49692157,REITHÖRNE048,HUNTE TIDEBEREICH,53.16126,8.32211,2009,12.5958,2.5,22.6,24,Cel,Unterweser,treatment,31.457,,off_river,,,,,0
DESM_DENI_49692157,REITHÖRNE048,HUNTE TIDEBEREICH,53.16126,8.32211,2010,10.2083,1.0,23.3,24,Cel,Unterweser,treatment,31.457,,off_river,,,,,0
DESM_DENI_49692157,REITHÖRNE048,HUNTE TIDEBEREICH,53.16126,8.32211,2011,11.7833,0.7,20.7,24,Cel,Unterweser,treatment,31.457,,off_river,,,,,0
DESM_DENI_49692157,REITHÖRNE048,HUNTE TIDEBEREICH,53.16126,8.32211,2012,11.5833,0.6,22.5,24,Cel,Unterweser,treatment,31.457,,off_river,,,,,0
DESM_DENI_49872057,STOTEL,LUNE UNTERLAUF 1,53.45161,8.60908,2008,12.1,5.3,20.5,12,Cel,Unterweser,treatment,9.121,,off_river,,,,,0
DESM_DENI_49872057,STOTEL,LUNE UNTERLAUF 1,53.45161,8.60908,2009,11.1846,0.4,20.8,13,Cel,Unterweser,treatment,9.121,,off_river,,,,,0
DESM_DENI_49872057,STOTEL,LUNE UNTERLAUF 1,53.45161,8.60908,2010,9.825,0.5,22.1,12,Cel,Unterweser,treatment,9.121,,off_river,,,,,0
DESM_DENI_49872057,STOTEL,LUNE UNTERLAUF 1,53.45161,8.60908,2011,12.075,1.9,21.2,12,Cel,Unterweser,treatment,9.121,,off_river,,,,,0
DESM_DENI_49872057,STOTEL,LUNE UNTERLAUF 1,53.45161,8.60908,2012,11.3333,0.2,23.1,12,Cel,Unterweser,treatment,9.121,,off_river,,,,,0
DESM_DENI_59652013,DAUDIECK,LÜHE-AUE MITTELLAUF 2,53.4921,9.5555,2008,9.93333,3.8,15.3,12,Cel,Brokdorf,control,42.239,,off_river,,,,,0
DESM_DENI_59652013,DAUDIECK,LÜHE-AUE MITTELLAUF 2,53.4921,9.5555,2009,9.575,2.8,17.2,12,Cel,Brokdorf,control,42.239,,off_river,,,,,0
DESM_DENI_59652013,DAUDIECK,LÜHE-AUE MITTELLAUF 2,53.4921,9.5555,2010,10.1455,0.1,19.4,11,Cel,Brokdorf,control,42.239,,off_river,,,,,0
DESM_DENI_59652013,DAUDIECK,LÜHE-AUE MITTELLAUF 2,53.4921,9.5555,2011,11.125,2.4,21.7,12,Cel,Brokdorf,control,42.239,,off_river,,,,,0
DESM_DENI_59652013,DAUDIECK,LÜHE-AUE MITTELLAUF 2,53.4921,9.5555,2012,10.325,3.4,16.9,12,Cel,Brokdorf,control,42.239,,off_river,,,,,0
DESM_DENI_59872220,OBERNDORF,OSTE (BREMERVÖRDE-OBERNDORF),53.75368,9.14766,2008,12.2522,2.4,22.2,23,Cel,Brokdorf,control,16.936,,off_river,,,,,0
DESM_DENI_59872220,OBERNDORF,OSTE (BREMERVÖRDE-OBERNDORF),53.75368,9.14766,2009,11.75,2.4,21.2,12,Cel,Brokdorf,control,16.936,,off_river,,,,,0
DESM_DENI_59872220,OBERNDORF,OSTE (BREMERVÖRDE-OBERNDORF),53.75368,9.14766,2010,12.0091,0.4,24.1,11,Cel,Brokdorf,control,16.936,,off_river,,,,,0
DESM_DENI_59872220,OBERNDORF,OSTE (BREMERVÖRDE-OBERNDORF),53.75368,9.14766,2011,11.95,0.4,21.2,12,Cel,Brokdorf,control,16.936,,off_river,,,,,0
DESM_DENI_59872220,OBERNDORF,OSTE (BREMERVÖRDE-OBERNDORF),53.75368,9.14766,2012,11.275,0.9,19.6,12,Cel,Brokdorf,control,16.936,,off_river,,,,,0
DESM_DENI_59942126,OTTERNDORF,MEDEM,53.80612,8.89815,2008,11.6833,1.3,23.4,12,Cel,Brokdorf,control,29.807,,off_river,,,,,0
DESM_DENI_59942126,OTTERNDORF,MEDEM,53.80612,8.89815,2009,11.0417,0.4,20.3,12,Cel,Brokdorf,control,29.807,,off_river,,,,,0
DESM_DENI_59942126,OTTERNDORF,MEDEM,53.80612,8.89815,2010,9.91667,0.4,22.2,12,Cel,Brokdorf,control,29.807,,off_river,,,,,0
DESM_DENI_59942126,OTTERNDORF,MEDEM,53.80612,8.89815,2011,11.3167,0.2,20.0,12,Cel,Brokdorf,control,29.807,,off_river,,,,,0
DESM_DENI_59942126,OTTERNDORF,MEDEM,53.80612,8.89815,2012,10.6333,0.6,20.2,12,Cel,Brokdorf,control,29.807,,off_river,,,,,0
DESM_NW752824,VORMDGDERWÃ¶RMKE,EMMER,51.93522,9.22693,2008,13.45,4.0,21.8,12,Cel,Grohnde,control,16.965,,off_river,,,,,0
