# Dataset: annual dissolved oxygen at German monitoring sites (EEA Waterbase v2020_1).
# Source: data/raw/waterbase/ Aggregated + Spatial files, determinand 'Dissolved oxygen'.
# Site filter: monitoring sites within the study radius of a study reactor.
# Window filter: observation years 2006-2018 (inclusive).
# Added columns: nearest study reactor, its group and the distance in km.
# River position added by river_position.py: each site is matched to its
# study river and classified upstream/downstream of the nearest reactor, with
# an approximate along-flow distance and distance band. Flow direction is a
# per-river heuristic (see the module); the up/down sign is robust, the distance
# is approximate. Filter on position=downstream for the plume-exposed sample;
# downstream_of_shock=1 marks sites below a 2011/staggered shutdown.
site_id,site_name,water_body_name,latitude,longitude,year,mean_value,min_value,max_value,sample_count,unit,nearest_reactor,nearest_group,distance_km,study_river,position,nearest_upstream_plant,nearest_upstream_group,along_river_km,distance_band,downstream_of_shock
DESM_HE_107,WESCHNITZBIBLISWATTENHEIMNACHMÜNDUNGHALBMAASGRABEN,UNTERE WESCHNITZ,49.69875,8.41001,2010,8.7875,5.5,12.7,24,mg/L,Biblis A,treatment,1.231,,off_river,,,,,0
DESM_DENI_48852542,POPPENBURG,"LEINE, DESPE-INNERSTE",52.13589,9.76159,2010,10.9083,8.4,14.0,24,mg/L,Grohnde,control,26.269,,off_river,,,,,0
DESM_DENI_49692157,REITHÖRNE048,HUNTE TIDEBEREICH,53.16126,8.32211,2010,9.80417,7.3,12.5,24,mg/L,Unterweser,treatment,31.457,,off_river,,,,,0
DESM_DENI_36912024,BOKELOH,"HASE, GROßE HASE",52.69524,7.34741,2010,10.1561,7.4,13.5,23,mg/L,Emsland,control,23.881,,off_river,,,,,0
DESM_DENI_59942126,OTTERNDORF,MEDEM,53.80612,8.89815,2010,7.73333,3.5,12.2,12,mg/L,Brokdorf,control,29.807,,off_river,,,,,0
DESM_DENI_92862534,LAAR,VECHTE NEUENHAUS-LAAR,52.6116,6.73863,2010,10.7657,5.8,13.6,23,mg/L,Emsland,control,41.03,,off_river,,,,,0
DESM_DENI_49572011,FARGE,WESER / TIDEBEREICH OBERH. BRAKE,53.20889,8.50524,2010,12.3083,5.4,21.4,12,mg/L,Unterweser,treatment,24.503,Weser,downstream,Grohnde,control,143.1,>50,0
DESM_DENI_59652013,DAUDIECK,LÜHE-AUE MITTELLAUF 2,53.4921,9.5555,2010,9.61818,6.9,12.8,11,mg/L,Brokdorf,control,42.239,,off_river,,,,,0
DESM_DENI_93912880,NENNDORF,HARLE / ABENSER LEIDE,53.59162,7.78604,2010,8.29091,5.6,10.4,11,mg/L,Unterweser,treatment,49.148,,off_river,,,,,0
DESM_DENI_45752064,HESSOLDENDORF/FUHLEN,WESER,52.15799,9.24872,2010,11.3917,9.5,13.3,12,mg/L,Grohnde,control,17.661,Weser,downstream,Grohnde,control,16.6,10-25,0
DESM_DENI_59872220,OBERNDORF,OSTE (BREMERVÖRDE-OBERNDORF),53.75368,9.14766,2010,8.80909,6.6,12.2,11,mg/L,Brokdorf,control,16.936,,off_river,,,,,0
DESM_BWU47,KOCHENDORF,NECKAR AB ENZ OBERHALB KOCHER (TBG 46),49.21644,9.21007,2011,9.87308,5.3,16.7,26,mg/L,Neckarwestheim 1,partial,19.663,Neckar,downstream,Neckarwestheim 1,partial,11.3,10-25,1
DESM_BWU41,MANNHEIM/RHEIN,"FREIFLIEßENDE RHEINSTRECKE, UNTERHALB LAUTER- BIS OBERHALB NECKARMÜNDUNG",49.48374,8.45494,2011,9.65,7.8,12.3,26,mg/L,Biblis A,treatment,25.259,,off_river,,,,,0
DESM_BWU45,POPPENWEILER,NECKAR AB FILS OBERHALB ENZ (TBG 42),48.91262,9.24781,2011,10.0846,5.9,17.1,26,mg/L,Neckarwestheim 1,partial,15.243,Neckar,upstream,,,,,0
DESM_BWU48,MANNHEIM/NECKAR,NECKAR (BW) AB KOCHER (TBG 49),49.49469,8.4689,2011,10.4692,6.9,13.9,26,mg/L,Biblis A,treatment,24.192,Neckar,downstream,Neckarwestheim 1,partial,71.7,>50,1
DESM_DENI_49282075,HOLZKAMP003,DELME UNTERLAUF OBERHALB DELMENHORST,53.00301,8.57217,2010,10.1083,8.6,12.1,12,mg/L,Unterweser,treatment,47.747,,off_river,,,,,0
DESM_DENI_49482303,TIETJENSHÜTTE,HAMME III,53.20312,8.82025,2010,8.2125,5.6,10.7,8,mg/L,Unterweser,treatment,33.894,,off_river,,,,,0
DESM_BWU44,DEIZISAU,NECKAR AB FILS OBERHALB ENZ (TBG 42),48.7171,9.38628,2011,10.388,6.9,12.9,25,mg/L,Neckarwestheim 1,partial,39.2,Neckar,upstream,,,,,0
DESM_DENI_49872057,STOTEL,LUNE UNTERLAUF 1,53.45161,8.60908,2010,9.03333,7.2,11.4,12,mg/L,Unterweser,treatment,9.121,,off_river,,,,,0
DESM_BWU51,ULMWIBLINGEN,DONAU AB RIß OBERHALB ILLER (TBG 64),48.37289,9.96429,2011,10.4192,7.6,12.5,26,mg/L,Gundremmingen C,staggered_treatment,35.748,Danube,upstream,,,,,0
DESM_DENI_48862863,SARSTEDT,INNERSTE,52.24773,9.8286,2010,10.75,8.0,13.8,12,mg/L,Grohnde,control,36.862,,off_river,,,,,0
DESM_NW731808,UHKABADOEYNHAUSEN,WERRE,52.21949,8.8254,2010,10.8923,8.7,13.2,13,mg/L,Grohnde,control,45.053,,off_river,,,,,0
DESM_BWU40,KARLSRUHE,"FREIFLIEßENDE RHEINSTRECKE, UNTERHALB STAUSTUFE IFFEZHEIM BIS OBERHALB LAUTERMÜNDUNG",48.92299,8.16898,2011,9.43846,7.3,13.0,26,mg/L,Philippsburg 1,partial,41.479,,off_river,,,,,0
DESM_DERP2391566500,UNTERSUCHUNGSSTATION WORMS,"FREIFLIEßENDE RHEINSTRECKE, UNTERHALB NECKAR - UND MAINMÜNDUNG",49.6311,8.3793,2010,9.77692,7.4,14.3,13,mg/L,Biblis A,treatment,9.072,Neckar,downstream,Neckarwestheim 1,partial,86.7,>50,1
DESM_BWU29,JAGSTFELD,JAGST AB SECKACH,49.24548,9.19336,2011,10.8,8.4,13.5,26,mg/L,Neckarwestheim 1,partial,22.765,,off_river,,,,,0
DESM_NW805180,E1AUHKARHEINENORDEU,EMS,52.30786,7.42164,2010,10.3833,7.5,12.8,12,mg/L,Emsland,control,20.865,Ems,upstream,,,,,0
DESM_NW031318,BRÜCKEAMMELITTABAD,MITTELLANDKANAL,52.30086,8.88783,2010,9.21177,2.6,13.6,17,mg/L,Grohnde,control,46.425,,off_river,,,,,0
DESM_BWU46,BESIGHEIM,NECKAR AB FILS OBERHALB ENZ (TBG 42),49.00129,9.14739,2011,10.1,5.2,18.0,26,mg/L,Neckarwestheim 1,partial,4.863,Neckar,upstream,,,,,0
DESM_BWU24,BESIGHEIM,ENZ UNTERHALB GLEMS,48.99756,9.14213,2011,10.052,7.6,13.1,25,mg/L,Neckarwestheim 1,partial,5.402,,off_river,,,,,0
DESM_NW734913,STRBRINHÃ¶LSEN,BEGA,52.03753,8.79142,2010,10.2625,7.7,12.8,16,mg/L,Grohnde,control,42.552,,off_river,,,,,0
DESM_BWU27,KOCHENDORF,KOCHER UNTERHALB OHRN,49.22325,9.20766,2011,10.6423,7.1,14.5,26,mg/L,Neckarwestheim 1,partial,20.393,,off_river,,,,,0
