# Dataset: conventional thermal power plants (Open Power System Data, conventional_power_plants_DE).
# Source file: data/processed/conventional_plants_de_relevant_clean.csv
# Filter 1 (site): kept only plants within 50 km of a study reactor site.
# Filter 2 (window): kept only plants whose operating life overlaps 2006-2018
#           (commissioned no later than 2018 and not shut down before 2006).
# Purpose: these are potential thermal confounders near the study rivers.
# The study nuclear reactors themselves are documented in data/processed/group_assignment.csv.
# Added columns: nearest study reactor, its group and the distance in km.
plant_id,plant_name,block_name,company,state,city,capacity_mw,commissioned_year,shutdown_year,status,energy_source,energy_source_level_1,energy_source_level_2,technology,type,latitude,longitude,distance_to_nearest_nuclear_km,nearest_study_reactor,nearest_study_group,distance_to_study_reactor_km
BNA0418,GKL,GKL,enercity AG,Niedersachsen,Hannover,230.0,1998,,operating,Natural gas,Fossil fuels,Natural gas,Combined cycle,,52.372917,9.714194,42.736,Grohnde,Kontrolle,42.74
BNA0419,KWH,B,enercity AG,Niedersachsen,Hannover,102.0,1975,,shutdown_temporary,Natural gas,Fossil fuels,Natural gas,Steam turbine,,52.42,9.648611,45.64,Grohnde,Kontrolle,45.644
BNA0514,Rheinhafen-Dampfkraftwerk,RDK 4S,EnBW Energie Baden-Württemberg AG,Baden-Württemberg,Karlsruhe,353.0,1998,,operating,Natural gas,Fossil fuels,Natural gas,Combined cycle,,49.0125,8.302778,28.402,Philippsburg 1,Partial,28.399
BNA0602,Emsland,C1,RWE Generation SE,Niedersachsen,Lingen,116.0,1974,,operating,Natural gas,Fossil fuels,Natural gas,Combined cycle,,52.481878,7.3066580000000005,0.0,Emsland,Kontrolle,0.004
BNA0603,Emsland,B1,RWE Generation SE,Niedersachsen,Lingen,116.0,1973,,operating,Natural gas,Fossil fuels,Natural gas,Combined cycle,,52.481878,7.3066580000000005,0.0,Emsland,Kontrolle,0.004
BNA0604,Emsland,B2,RWE Generation SE,Niedersachsen,Lingen,359.0,1973,,operating,Natural gas,Fossil fuels,Natural gas,Combined cycle,,52.481878,7.3066580000000005,0.0,Emsland,Kontrolle,0.004
BNA0605,Emsland,C2,RWE Generation SE,Niedersachsen,Lingen,359.0,1974,,operating,Natural gas,Fossil fuels,Natural gas,Combined cycle,,52.481878,7.3066580000000005,0.0,Emsland,Kontrolle,0.004
BNA0606,Emsland,D,RWE Generation SE,Niedersachsen,Lingen,887.0,2010,,operating,Natural gas,Fossil fuels,Natural gas,Combined cycle,,52.481878,7.3066580000000005,0.0,Emsland,Kontrolle,0.004
BNA0614b,Kraftwerk Mitte,"GUD A 800  GT 11, GT 12, DT 10",BASF SE,Rheinland-Pfalz,Ludwigshafen,497.5,2005,,operating,Natural gas,Fossil fuels,Natural gas,Combined cycle,IPP,49.513729999999995,8.431556,29.024,Biblis A,Treatment,21.791
BNA0615,Kraftwerk Süd,"GUD C 200 GT 1, GT 2, DT 1",BASF SE,Rheinland-Pfalz,Ludwigshafen,410.0,1997,,operating,Natural gas,Fossil fuels,Natural gas,Combined cycle,IPP,49.513616999999996,8.431602999999999,29.012,Biblis A,Treatment,21.804
BNA0805,Kraftwerk Plattling,,Kraftwerk Platting GmbH,Bayern,Plattling,118.5,2010,,operating,Natural gas,Fossil fuels,Natural gas,Combined cycle,IPP,48.787420000000004,12.88246,47.664,Isar 1,Partial,47.626
BNA0811,Kraftwerk Veltheim,4 DT,Uniper Kraftwerke GmbH,Nordrhein-Westfalen,Porta Westfalica,335.0,1975,2015,shutdown,Natural gas,Fossil fuels,Natural gas,Steam turbine,,52.18696,8.93018,37.046,Grohnde,Kontrolle,37.048
BNA0918a,Dow Stade,Kraftwärmekopplungsanlage,Dow Deutschland Anlagengesellschaft mbH,Niedersachsen,Stade,190.0,,2014,shutdown,Natural gas,Fossil fuels,Natural gas,Steam turbine,,53.65191970000001,9.507866499999999,24.573,Brokdorf,Kontrolle,24.575
BNA0918b,Dow Stade,Cogen Dow Stade,Dow Deutschland Anlagengesellschaft mbH,Niedersachsen,Stade,157.0,2015,,operating,Natural gas,Fossil fuels,Natural gas,Combined cycle,IPP,53.65191970000001,9.507866499999999,24.573,Brokdorf,Kontrolle,24.575
BNA0649,Dampfkraftwerk Marbach am Neckar,MAR III DT,EnBW Energie Baden-Württemberg AG,Baden-Württemberg,Marbach,263.5,1975,,operating,Oil,Fossil fuels,Oil,Combined cycle,,48.927496999999995,9.230005,13.256,Neckarwestheim 1,Partial,13.254
BNA1004,Kraftwerk Walheim,WAL GT D,EnBW Energie Baden-Württemberg AG,Baden-Württemberg,Walheim,136.0,1981,,operating,Oil,Fossil fuels,Oil,Gas turbine,,49.017472,9.157389,2.925,Neckarwestheim 1,Partial,2.924
