# Water quality, monthly mean per site, from the Waterbase v2025_1 disaggregated data.
# German sites on a study river within 50 km of a study reactor.
# Built by waterbase_disaggregated.py.
site_id,site_name,water_body_name,latitude,longitude,study_river,position,nearest_upstream_plant,nearest_upstream_group,along_river_km,distance_band,determinand,year,month,mean_value,n_samples
DEGM_DEBW_1251-305-8,BR NORD BEREGNUNGSVERBAND DOSSENHEIM,NAME,49.45773,8.65689,Neckar,downstream,Neckarwestheim 1,partial,58.9,>50,dissolved_oxygen,2015,3,6.3,1
DEGM_DEBW_1251-305-8,BR NORD BEREGNUNGSVERBAND DOSSENHEIM,NAME,49.45773,8.65689,Neckar,downstream,Neckarwestheim 1,partial,58.9,>50,dissolved_oxygen,2015,9,6.0,1
DEGM_DEBW_1251-305-8,BR NORD BEREGNUNGSVERBAND DOSSENHEIM,NAME,49.45773,8.65689,Neckar,downstream,Neckarwestheim 1,partial,58.9,>50,dissolved_oxygen,2016,9,6.6,1
DEGM_DEBW_1251-305-8,BR NORD BEREGNUNGSVERBAND DOSSENHEIM,NAME,49.45773,8.65689,Neckar,downstream,Neckarwestheim 1,partial,58.9,>50,dissolved_oxygen,2017,3,5.7,1
DEGM_DEBW_1251-305-8,BR NORD BEREGNUNGSVERBAND DOSSENHEIM,NAME,49.45773,8.65689,Neckar,downstream,Neckarwestheim 1,partial,58.9,>50,dissolved_oxygen,2017,9,6.2,1
DEGM_DEBW_1251-305-8,BR NORD BEREGNUNGSVERBAND DOSSENHEIM,NAME,49.45773,8.65689,Neckar,downstream,Neckarwestheim 1,partial,58.9,>50,dissolved_oxygen,2018,3,7.7,1
DEGM_DEBW_1251-305-8,BR NORD BEREGNUNGSVERBAND DOSSENHEIM,NAME,49.45773,8.65689,Neckar,downstream,Neckarwestheim 1,partial,58.9,>50,dissolved_oxygen,2018,5,6.3,1
DEGM_DEBW_1251-305-8,BR NORD BEREGNUNGSVERBAND DOSSENHEIM,NAME,49.45773,8.65689,Neckar,downstream,Neckarwestheim 1,partial,58.9,>50,dissolved_oxygen,2018,9,7.2,1
DEGM_DEBW_1251-305-8,BR NORD BEREGNUNGSVERBAND DOSSENHEIM,NAME,49.45773,8.65689,Neckar,downstream,Neckarwestheim 1,partial,58.9,>50,dissolved_oxygen,2019,9,6.0,1
DEGM_DEBW_1251-305-8,BR NORD BEREGNUNGSVERBAND DOSSENHEIM,NAME,49.45773,8.65689,Neckar,downstream,Neckarwestheim 1,partial,58.9,>50,dissolved_oxygen,2020,9,6.0,1
