case,label,role,river,block,outcome,unit,upstream,downstream,spec,note,cut,n,n_pre,n_post,first_day,last_day,up_pre,up_post,down_pre,down_post,gap_pre,gap_post,up_change,down_change,did_raw,did,se,t,p,ci_lo,ci_hi,r2
A1,Isar 1 — Landshut-Birket → Landau,treatment,Isar,Isar 1,temperature,°C,Landshut-Birket,Landau a.d. Isar,baseline,"Schnitt 06.08.2011, Monats-FE, HAC(30)",2011-08-06,3336,1517,1819,2007-05-16,2016-08-05,11.852076466710615,12.137493128092357,13.583981542518126,12.091588785046728,1.731905075807515,-0.04590434304562944,0.28541666138174193,-1.4923927574713982,-1.7778094188531444,-1.7740777072554406,0.1301831230480667,-13.627555290714673,2.7462682401541078e-42,-2.0292319398245975,-1.5189234746862836,0.4790606499612946
A1,Isar 1 — Landshut-Birket → Landau,treatment,Isar,Isar 1,level,cm,Landshut-Birket,Landau a.d. Isar,baseline,"Schnitt 06.08.2011, Monats-FE, HAC(30)",2011-08-06,3653,1826,1827,2006-08-06,2016-08-05,119.05093099671413,123.56978653530378,112.95947426067907,116.88122605363985,-6.091456736035049,-6.68856048166393,4.518855538589648,3.9217517929607766,-0.597103745628881,-0.5987881578412027,0.8174837760613909,-0.7324771149907631,0.4638774058581825,-2.2010269168673355,1.0034506011849302,0.08663263904015805
B1,Neckarwestheim 1 — Besigheim → Lauffen (Nahfeld),treatment,Neckar,Neckarwestheim 1,temperature,°C,Besigheim,Lauffen,baseline,"Schnitt 06.08.2011, Monats-FE, HAC(30)",2011-08-06,2208,492,1716,2010-03-17,2016-08-05,13.88780487804878,13.01520979020979,14.326626016260164,13.12039627039627,0.43882113821138213,0.10518648018648015,-0.8725950878389899,-1.2062297458638938,-0.333634658024902,-0.35004819193742087,0.1375445782906441,-2.5449799351431905,0.010928401766018612,-0.6196306116558331,-0.08046577221900864,0.124222390682727
B1,Neckarwestheim 1 — Besigheim → Lauffen (Nahfeld),treatment,Neckar,Neckarwestheim 1,oxygen,mg/l,Besigheim,Lauffen,baseline,"Schnitt 06.08.2011, Monats-FE, HAC(30)",2011-08-06,2141,488,1653,2010-03-11,2016-08-05,9.895696721311474,9.787537810042348,9.549180327868852,9.724803387779794,-0.34651639344262297,-0.06273442226255296,-0.10815891126912547,0.17562305991094185,0.28378197118007,0.272753409174728,0.14903008095335554,1.830190304064159,0.06722148714676573,-0.019340182106937553,0.5648470004563936,0.08028192522163224
B1,Neckarwestheim 1 — Besigheim → Lauffen (Nahfeld),treatment,Neckar,Neckarwestheim 1,o2_saturation,%,Besigheim,Lauffen,baseline,"Schnitt 06.08.2011, Monats-FE, HAC(30)",2011-08-06,2135,482,1653,2010-03-17,2016-08-05,93.86493325595052,90.71048615147362,91.70671437062221,90.41654735684551,-2.158218885328316,-0.29393879462811145,-3.154447104476901,-1.2901670137766956,1.8642800907002046,1.694560865453405,1.6360097140698044,1.0357889998329817,0.30030059055347746,-1.5119592524810836,4.901080983387894,0.05250022002447097
B2,Neckarwestheim 1 — Besigheim → Mannheim (Fernfeld),treatment_far,Neckar,Neckarwestheim 1,temperature,°C,Besigheim,Mannheim (Neckar),baseline,"Schnitt 06.08.2011, Monats-FE, HAC(30)",2011-08-06,3546,1752,1794,2006-08-06,2016-08-05,12.823573059360731,13.164381270903009,13.519634703196347,13.47123745819398,0.6960616438356164,0.3068561872909699,0.3408082115422779,-0.04839724500236642,-0.3892054565446465,-0.37895605361355,0.07390368672688154,-5.127701612695183,2.933008140999678e-07,-0.5238046179229686,-0.23410748930413136,0.22504702916473018
B2,Neckarwestheim 1 — Besigheim → Mannheim (Fernfeld),treatment_far,Neckar,Neckarwestheim 1,oxygen,mg/l,Besigheim,Mannheim (Neckar),baseline,"Schnitt 06.08.2011, Monats-FE, HAC(30)",2011-08-06,3389,1700,1689,2006-08-06,2016-08-05,9.482352941176469,9.732978093546476,10.309764705882353,10.620840734162226,0.8274117647058823,0.887862640615749,0.2506251523700076,0.3110760282798726,0.06045087590986675,0.06064035532903226,0.1989308682062976,0.3048313008222851,0.7604946407655089,-0.32925698176859514,0.4505376924266597,0.020814842505381126
B2,Neckarwestheim 1 — Besigheim → Mannheim (Fernfeld),treatment_far,Neckar,Neckarwestheim 1,o2_saturation,%,Besigheim,Mannheim (Neckar),baseline,"Schnitt 06.08.2011, Monats-FE, HAC(30)",2011-08-06,3378,1700,1678,2006-08-06,2016-08-05,87.39416239614297,91.3858020617016,97.05060537061787,100.47457705550691,9.6564429744749,9.088774993805336,3.9916396655586226,3.4239716848890396,-0.5676679806695635,-0.5824818483098838,2.0676679056802993,-0.2817095756575266,0.7781662114397336,-4.635036475432632,3.4700727788128645,0.04041808604167596
C1,"Philippsburg 1 — Karlsruhe → Mannheim (flussübergreifend, NICHT identifiziert)",not_identified,Rhein/Neckar,Philippsburg 1,temperature,°C,Karlsruhe (Rhein),Mannheim (Neckar),baseline,"Schnitt 06.08.2011, Monats-FE, HAC(30)",2011-08-06,3496,1738,1758,2006-08-06,2016-08-05,13.687571921749138,13.807053469852104,13.522209436133487,13.536689419795222,-0.16536248561565023,-0.2703640500568828,0.11948154810296607,0.014479983661734863,-0.10500156444123257,-0.08249645761920432,0.11205056100427017,-0.736243146663589,0.4615827386753547,-0.3021115216350821,0.13711860639667345,0.46720482277313635
C1,"Philippsburg 1 — Karlsruhe → Mannheim (flussübergreifend, NICHT identifiziert)",not_identified,Rhein/Neckar,Philippsburg 1,oxygen,mg/l,Karlsruhe (Rhein),Mannheim (Neckar),baseline,"Schnitt 06.08.2011, Monats-FE, HAC(30)",2011-08-06,3392,1721,1671,2006-08-06,2016-08-05,10.07356188262638,10.140155595451827,10.309006391632773,10.55374027528426,0.2354445090063916,0.41358467983243563,0.0665937128254459,0.24473388365148807,0.17814017082604403,0.17963182298766844,0.1713843116586815,1.048122907220424,0.29458198349985953,-0.15627525537853543,0.5155389013538723,0.13808553331376516
