case,label,role,river,block,outcome,unit,upstream,downstream,spec,note,cut,n,n_pre,n_post,first_day,last_day,up_pre,up_post,down_pre,down_post,gap_pre,gap_post,up_change,down_change,did_raw,did,se,t,p,ci_lo,ci_hi,r2
A1,Isar 1 — Landshut-Birket → Landau,treatment,Isar,Isar 1,level,cm,Landshut-Birket,Landau a.d. Isar,cut_moratorium,"Schnitt 14.03.2011 (Moratorium, Netzabgang)",2011-03-14,3653,1681,1972,2006-08-06,2016-08-05,119.04402141582392,123.24340770791075,113.18084473527662,116.40415821501014,-5.863176680547293,-6.839249492900609,4.199386292086828,3.2233134797335197,-0.9760728123533156,-0.7895843221414173,0.7967661954333164,-0.9909862223911328,0.3216923078761831,-2.3512173692897194,0.7720487250068849,0.0880261745616644
A1,Isar 1 — Landshut-Birket → Landau,treatment,Isar,Isar 1,level,cm,Landshut-Birket,Landau a.d. Isar,donut_transition,Übergangsmonate 14.03.–05.08.2011 entfernt,2011-08-06,3508,1681,1827,2006-08-06,2016-08-05,119.04402141582392,123.56978653530378,113.18084473527662,116.88122605363985,-5.863176680547293,-6.68856048166393,4.525765119479857,3.7003813183632275,-0.8253838011166366,-0.7260822197189825,0.8250357997535263,-0.8800614711942131,0.3788260097904914,-2.343122673192094,0.8909582337541291,0.09157727031255658
A1,Isar 1 — Landshut-Birket → Landau,treatment,Isar,Isar 1,level,cm,Landshut-Birket,Landau a.d. Isar,donut_1y,±1 Jahr um den Schnitt entfernt,2011-08-06,2923,1461,1462,2006-08-06,2016-08-05,116.92950034223135,123.63474692202462,112.435318275154,116.85225718194255,-4.494182067077344,-6.782489740082079,6.705246579793268,4.416938906788545,-2.288307673004735,-2.2871537977483976,0.7621494316214524,-3.0009256752741247,0.0026916025415202743,-3.7809392345641166,-0.7933683609326783,0.16223987560081476
A1,Isar 1 — Landshut-Birket → Landau,treatment,Isar,Isar 1,level,cm,Landshut-Birket,Landau a.d. Isar,placebo_cut_2008,"Nur Vorperiode, Scheinschnitt 06.08.2008",2008-08-06,1681,731,950,2006-08-06,2011-03-13,115.10943912448701,122.07157894736842,111.99589603283174,114.09263157894736,-3.113543091655267,-7.978947368421053,6.9621398228814115,2.0967355461156245,-4.865404276765785,-5.035246025639292,0.9520939969255153,-5.288601799716223,1.232548859593901e-07,-6.901315969510091,-3.1691760817684935,0.27761643593131635
A1,Isar 1 — Landshut-Birket → Landau,treatment,Isar,Isar 1,level,cm,Landshut-Birket,Landau a.d. Isar,summer,"nur Juni–September (Niedrigwasser, größte thermische Last)",2011-08-06,1220,610,610,2006-08-06,2016-08-05,135.92131147540982,132.9655737704918,127.09508196721312,124.64918032786885,-8.826229508196722,-8.316393442622951,-2.955737704918022,-2.445901639344271,0.5098360655737704,0.5098360655737774,1.5939513198581636,0.3198567354109313,0.7490769363476153,-2.614251114458307,3.633923245605862,0.009930845556253787
A1,Isar 1 — Landshut-Birket → Landau,treatment,Isar,Isar 1,level,cm,Landshut-Birket,Landau a.d. Isar,winter,nur Oktober–Mai,2011-08-06,2433,1216,1217,2006-10-01,2016-05-31,110.58799342105263,118.86031224322103,105.86842105263158,112.98767460969597,-4.719572368421052,-5.872637633525062,8.272318822168401,7.119253557064397,-1.1530652651040096,-1.1546958918752592,0.8746126467648155,-1.3202369027551444,0.18675593466321705,-2.86890517995755,0.5595133962070316,0.07487689658105379
B1,Neckarwestheim 1 — Besigheim → Lauffen (Nahfeld),treatment,Neckar,Neckarwestheim 1,temperature,°C,Besigheim,Lauffen,baseline,"Schnitt 06.08.2011, Monats-FE, HAC(30)",2011-08-06,2208,492,1716,2010-03-17,2016-08-05,13.88780487804878,13.01520979020979,14.326626016260164,13.12039627039627,0.43882113821138213,0.10518648018648015,-0.8725950878389899,-1.2062297458638938,-0.333634658024902,-0.35004819193742087,0.1375445782906441,-2.5449799351431905,0.010928401766018612,-0.6196306116558331,-0.08046577221900864,0.124222390682727
B1,Neckarwestheim 1 — Besigheim → Lauffen (Nahfeld),treatment,Neckar,Neckarwestheim 1,temperature,°C,Besigheim,Lauffen,no_month_fe,ohne Monats-FE = klassisches 2×2 auf den gepaarten Tagen,2011-08-06,2208,492,1716,2010-03-17,2016-08-05,13.88780487804878,13.01520979020979,14.326626016260164,13.12039627039627,0.43882113821138213,0.10518648018648015,-0.8725950878389899,-1.2062297458638938,-0.333634658024902,-0.3336346580249022,0.15624111913360864,-2.13538318129683,0.03272972335104754,-0.6398616244310071,-0.02740769161879736,0.043831958954456685
B1,Neckarwestheim 1 — Besigheim → Lauffen (Nahfeld),treatment,Neckar,Neckarwestheim 1,temperature,°C,Besigheim,Lauffen,cut_moratorium,"Schnitt 14.03.2011 (Moratorium, Netzabgang)",2011-03-14,2208,347,1861,2010-03-17,2016-08-05,12.4478386167147,13.351692638366469,13.020172910662824,13.4579795808705,0.5723342939481267,0.10628694250403008,0.9038540216517692,0.43780667020767616,-0.46604735144409665,-0.460101776650235,0.15824432376743686,-2.9075404772585824,0.003642831967610938,-0.770254951992307,-0.14994860130816307,0.14118452137160464
B1,Neckarwestheim 1 — Besigheim → Lauffen (Nahfeld),treatment,Neckar,Neckarwestheim 1,temperature,°C,Besigheim,Lauffen,donut_transition,Übergangsmonate 14.03.–05.08.2011 entfernt,2011-08-06,2063,347,1716,2010-03-17,2016-08-05,12.4478386167147,13.01520979020979,13.020172910662824,13.12039627039627,0.5723342939481267,0.10518648018648015,0.5673711734950899,0.10022335973344632,-0.4671478137616466,-0.46352472887882373,0.16346678947891097,-2.835589604202899,0.004574118183202248,-0.7839137489258803,-0.14313570883176718,0.1424463787981467
