case,outcome,rel_year,coef,se,ci_lo,ci_hi,gap_mean,n,reference
A1,temperature,-5,1.5856450262774453,0.2469004253841827,1.1017290847568284,2.069560967798062,2.5518987341772155,79,False
A1,temperature,-4,0.8935151194187108,0.26216808062003333,0.37967512350745214,1.4073551153299695,1.6772594752186587,343,False
A1,temperature,-3,1.4000000000000228,0.3002349233087436,0.8115503634137402,1.9884496365863054,2.2084931506849315,365,False
A1,temperature,-2,1.2441095890411116,0.24973837335127577,0.7546313717149935,1.7335878063672296,2.0526027397260274,365,False
A1,temperature,-1,0.0,0.0,0.0,0.0,0.8084931506849315,365,True
A1,temperature,0,-0.770993818529207,0.21022902300230267,-1.1830351321187629,-0.3589525049396512,0.03688524590163936,366,False
A1,temperature,1,-0.8227397260274002,0.2120254274149479,-1.2383019275674094,-0.4071775244873909,-0.014246575342465713,365,False
A1,temperature,2,-0.8841095890411055,0.22843230827974464,-1.3318286861747557,-0.4363904919074552,-0.07561643835616443,365,False
A1,temperature,3,-0.9125667919787996,0.21481543331959196,-1.3335973046085654,-0.4915362793490339,-0.09607843137254901,357,False
A1,temperature,4,-0.8895730535018702,0.2183126616924321,-1.3174580077881144,-0.46168809921562615,-0.08169398907103816,366,False
A1,level,-5,10.958904109589218,1.4806735677615186,8.056837243916215,13.860970975262221,-1.526027397260274,365,False
A1,level,-4,7.779795635870951,1.5864008440273325,4.670507116533435,10.889084155208465,-4.69672131147541,366,False
A1,level,-3,6.778082191780586,1.7235477289474912,3.3999907174076998,10.156173666153471,-5.706849315068493,365,False
A1,level,-2,6.438356164383662,1.5555361741784526,3.3895612863446707,9.487151042422653,-6.046575342465753,365,False
A1,level,-1,0.0,0.0,0.0,0.0,-12.484931506849316,365,True
A1,level,0,6.178702739696583,1.6146991961376491,3.0139504694010135,9.343455009992152,-6.297814207650274,366,False
A1,level,1,5.89863013698649,1.9192620184771754,2.136945703875579,9.660314570097402,-6.586301369863014,365,False
A1,level,2,9.131506849315151,1.613318284266741,5.969461116552386,12.293552582077917,-3.3534246575342466,365,False
A1,level,3,3.9315068493150847,1.8345026614041733,0.33594770342002755,7.527065995210142,-8.553424657534247,365,False
A1,level,4,3.8289759637401697,1.9941723199012857,-0.07952996223303765,7.7374818897133775,-8.647540983606557,366,False
B1,temperature,-2,-0.2494637099432616,0.2097879652884879,-0.6606405662986369,0.16171314641211365,0.22887323943661972,142,False
B1,temperature,-1,0.0,0.0,0.0,0.0,0.524,350,True
B1,temperature,0,-0.24030086203879308,0.19267014072876462,-0.6179273987634355,0.13732567468584939,0.25071428571428567,280,False
B1,temperature,1,-0.31650092285649467,0.17940574856378866,-0.668129728660969,0.03512788294797964,0.20356164383561642,365,False
B1,temperature,2,-0.1949956407547464,0.18697963474115023,-0.5614689906898551,0.17147770918036231,0.33247863247863246,351,False
B1,temperature,3,-0.5995846402333667,0.17804179034916084,-0.9485401370607529,-0.2506291434059804,-0.07865168539325856,356,False
B1,temperature,4,-0.6658084981887714,0.1777781088337353,-1.0142471887425346,-0.3173698076350082,-0.14478021978021968,364,False
B1,oxygen,-2,-0.5421587429707969,0.28369242651264753,-1.098185681622362,0.013868195680768247,-0.7174825174825176,143,False
B1,oxygen,-1,0.0,0.0,0.0,0.0,-0.19275362318840583,345,True
B1,oxygen,0,0.8266892252913866,0.20100427759400005,0.43272808046865513,1.220650370114118,0.6282142857142856,280,False
B1,oxygen,1,0.10216904645177434,0.19090671910624354,-0.2720012474031676,0.47633934030671626,-0.1028409090909091,352,False
B1,oxygen,2,0.1366458159456802,0.15183432372834244,-0.1609439901788663,0.4342356220702267,-0.07264150943396232,318,False
B1,oxygen,3,-0.0876764640294078,0.17422823438322754,-0.4291575285105369,0.25380460045172126,-0.29228571428571426,350,False
B1,oxygen,4,-0.13257769445333797,0.1873363992268047,-0.49975028993129245,0.23459490102461647,-0.3342776203966006,353,False
B1,o2_saturation,-2,-6.661644148573121,3.084054047365589,-12.706279007784662,-0.6170092893615804,-6.841504035995415,137,False
B1,o2_saturation,-1,0.0,0.0,0.0,0.0,-0.2984795646286275,345,True
B1,o2_saturation,0,7.481894072331441,2.2544791936233173,3.063196048934836,11.900592095728046,7.051186680932449,280,False
B1,o2_saturation,1,0.09222187441673996,2.012258187557078,-3.851731700790978,4.036175449624458,-0.3372908291074772,352,False
B1,o2_saturation,2,0.6067391800067141,1.5947349030389297,-2.518883794838563,3.7323621548519914,0.2122963330209627,318,False
B1,o2_saturation,3,-2.692659566102126,1.8521132371135125,-6.322734806134504,0.9374156739302517,-3.10296927905319,350,False
B1,o2_saturation,4,-3.372210340758615,1.9794623925252532,-7.251885338859599,0.5074646573423687,-3.7477555596815066,353,False
B2,temperature,-5,0.9583350221465112,0.15804289333777458,0.6485766431919677,1.2680934011010547,1.3248618784530388,362,False
B2,temperature,-4,0.35798010952355924,0.11993688059975256,0.12290814312996351,0.5930520759171549,0.7844594594594595,296,False
B2,temperature,-3,0.2810958904109729,0.12126300571814921,0.043424766546325794,0.51876701427562,0.6465753424657535,365,False
B2,temperature,-2,0.015151529575231599,0.107632091176423,-0.1958034927112888,0.22610655186175202,0.379945054945055,364,False
B2,temperature,-1,0.0,0.0,0.0,0.0,0.36547945205479454,365,True
B2,temperature,0,-0.1863240698575155,0.11993065110760673,-0.42138382667086344,0.048735686955832414,0.17841530054644808,366,False
