observation_id,plant,outcome,window_years,did_coefficient,std_error,p_value,ci_lower,ci_upper,t_stat,n_observations,r_squared
1,Isar 1,temperature,5,-1.909586468728686,0.2953370889013448,6.567805151977445e-10,-2.4916829648782093,-1.327489972579163,-6.465786182942195,232.0,0.9622134711945081
1,Isar 1,temperature,3,-1.8245398124719712,0.3352187897232925,2.0419282418851044e-07,-2.486794806857089,-1.1622848180868535,-5.442832765961729,168.0,0.963325287946121
1,Isar 1,temperature,4,-1.8978026928286311,0.3165071642158497,9.77531333169719e-09,-2.5220597984278386,-1.2735455872294237,-5.996081313136972,208.0,0.9603759496495112
1,Isar 1,temperature,5,-1.909586468728686,0.2953370889013448,6.567805151977445e-10,-2.4916829648782093,-1.327489972579163,-6.465786182942195,232.0,0.9622134711945081
1,Isar 1,temperature,6,-1.9187347460930153,0.28882266907859916,2.0235458204877853e-10,-2.487673875116081,-1.3497956170699494,-6.6432969136880935,256.0,0.9620463657783328
1,Isar 1,temperature,7,-1.9021582049723442,0.2904814879159581,3.0056732957315896e-10,-2.474103555214393,-1.3302128547302952,-6.548294070714328,280.0,0.9604123471027037
2,Neckarwestheim 1,temperature,5,0.8576868919610979,0.7277632031080915,0.24069171290014862,-0.5818005332733364,2.297174317195532,1.1785246743695414,148.0,0.9374699373934545
2,Neckarwestheim 1,temperature,3,0.8456501831501693,0.7779263662164485,0.28001425217677167,-0.7005627048081362,2.3918630711084745,1.0870568473763202,102.0,0.9363527958178899
2,Neckarwestheim 1,temperature,4,0.864579365079343,0.7342787103900327,0.24157894056175003,-0.5907371673193318,2.319895897478018,1.1774539460909843,124.0,0.9396933070337202
2,Neckarwestheim 1,temperature,5,0.8576868919610979,0.7277632031080915,0.24069171290014862,-0.5818005332733364,2.297174317195532,1.1785246743695414,148.0,0.9374699373934545
2,Neckarwestheim 1,temperature,6,0.8576868919610979,0.7277632031080915,0.24069171290014862,-0.5818005332733364,2.297174317195532,1.1785246743695414,148.0,0.9374699373934545
2,Neckarwestheim 1,temperature,7,0.8576868919610979,0.7277632031080915,0.24069171290014862,-0.5818005332733364,2.297174317195532,1.1785246743695414,148.0,0.9374699373934545
2,Neckarwestheim 1,oxygen,5,-0.32579150868618645,0.7150833974638174,0.64946857756949,-1.7410303008555077,1.0894472834831348,-0.45559931868320463,140.0,0.5325104906863696
2,Neckarwestheim 1,oxygen,3,-0.4004782254782286,0.748486644451726,0.5940454846033235,-1.8891880572909785,1.0882316063345212,-0.5350505963557746,98.0,0.6376891531094157
2,Neckarwestheim 1,oxygen,4,-0.21839863035516138,0.7631598368874245,0.7753175154838821,-1.7319461715851499,1.2951489108748273,-0.2861767873502204,118.0,0.5478855618626672
2,Neckarwestheim 1,oxygen,5,-0.32579150868618645,0.7150833974638174,0.64946857756949,-1.7410303008555077,1.0894472834831348,-0.45559931868320463,140.0,0.5325104906863696
2,Neckarwestheim 1,oxygen,6,-0.32579150868618645,0.7150833974638174,0.64946857756949,-1.7410303008555077,1.0894472834831348,-0.45559931868320463,140.0,0.5325104906863696
2,Neckarwestheim 1,oxygen,7,-0.32579150868618645,0.7150833974638174,0.64946857756949,-1.7410303008555077,1.0894472834831348,-0.45559931868320463,140.0,0.5325104906863696
3,Philippsburg 1,temperature,5,-0.11563131313129482,0.3849701562094358,0.7641625520680724,-0.8740317641526889,0.6427691378900993,-0.30036435621359636,252.0,0.9395163880841263
3,Philippsburg 1,temperature,3,-0.07023809523807611,0.4593406244889747,0.8786842522632272,-0.9782131238576336,0.8377369333814814,-0.15291069740721788,158.0,0.9488717061832147
3,Philippsburg 1,temperature,4,-0.053240740740744474,0.42115173545481543,0.8995362264318078,-0.8840025816531987,0.7775211001717097,-0.1264170042734077,204.0,0.9422416956004598
3,Philippsburg 1,temperature,5,-0.11563131313129482,0.3849701562094358,0.7641625520680724,-0.8740317641526889,0.6427691378900993,-0.30036435621359636,252.0,0.9395163880841263
3,Philippsburg 1,temperature,6,-0.11563131313129482,0.3849701562094358,0.7641625520680724,-0.8740317641526889,0.6427691378900993,-0.30036435621359636,252.0,0.9395163880841263
3,Philippsburg 1,temperature,7,-0.11563131313129482,0.3849701562094358,0.7641625520680724,-0.8740317641526889,0.6427691378900993,-0.30036435621359636,252.0,0.9395163880841263
3,Philippsburg 1,oxygen,5,-0.0375252525252647,0.14034725050615401,0.7894372646422808,-0.3141579809017955,0.2391074758512661,-0.2673743332336908,230.0,0.8720738006948958
3,Philippsburg 1,oxygen,3,-0.0038550420167863253,0.17693945150278947,0.9826502369037726,-0.3538344231923879,0.34612433915881524,-0.02178735145861775,148.0,0.8820339251489984
3,Philippsburg 1,oxygen,4,0.03095503352854534,0.15443133787322713,0.8413651010210075,-0.2738325794143438,0.3357426464714345,0.20044528497160571,190.0,0.8774981394172621
3,Philippsburg 1,oxygen,5,-0.0375252525252647,0.14034725050615401,0.7894372646422808,-0.3141579809017955,0.2391074758512661,-0.2673743332336908,230.0,0.8720738006948958
3,Philippsburg 1,oxygen,6,-0.0375252525252647,0.14034725050615401,0.7894372646422808,-0.3141579809017955,0.2391074758512661,-0.2673743332336908,230.0,0.8720738006948958
