date,oxygen_mg_l,temp_spot_c
1990-01-10,11.9,2.8
1990-01-24,10.9,4.7
1990-02-07,11.6,5.3
1990-02-21,11.3,7.7
1990-03-07,12.1,6.7
1990-03-21,10.3,9.0
1990-04-04,11.5,8.8
1990-04-18,11.4,9.7
1990-05-02,10.5,13.2
1990-05-16,9.6,15.1
1990-05-30,9.7,13.8
1990-06-12,10.0,12.8
1990-06-26,9.8,16.9
1990-07-11,9.6,15.0
1990-07-25,8.8,19.2
1990-08-08,8.3,18.2
1990-08-22,8.2,16.6
1990-09-05,8.0,16.5
1990-09-19,9.5,14.4
1990-10-01,9.9,15.0
1990-10-17,9.4,12.9
1990-10-30,9.9,10.0
1990-11-14,10.7,9.2
1990-11-28,11.4,6.2
1990-12-12,11.9,5.8
1990-12-27,12.3,3.0
1991-01-09,13.0,6.9
1991-01-23,12.1,4.8
1991-02-06,13.2,1.1
1991-02-20,11.9,4.1
1991-03-06,12.5,6.6
1991-03-20,13.1,9.5
1991-04-03,12.1,9.2
1991-04-17,11.1,9.5
1991-04-29,11.9,10.8
1991-05-15,11.8,9.6
1991-05-28,11.8,11.6
1991-06-12,11.4,13.6
1991-06-26,10.3,17.2
1991-07-10,9.6,19.0
1991-07-24,9.1,20.1
1991-08-07,10.4,16.0
1991-08-21,10.1,18.3
1991-09-04,9.8,17.8
1991-09-18,9.2,16.4
1991-10-01,9.3,13.2
1991-10-16,9.5,12.6
1991-10-30,12.0,4.2
1991-11-13,10.4,6.0
1991-11-27,11.2,4.8
1991-12-11,13.6,0.9
1992-01-08,11.8,3.4
1992-01-22,12.5,0.9
1992-02-05,12.8,3.2
1992-02-19,13.3,1.9
1992-03-04,11.6,6.0
1992-03-18,13.2,5.0
1992-04-01,10.5,6.6
1992-04-15,10.0,9.0
1992-04-29,10.2,9.9
1992-05-13,10.5,11.2
1992-05-25,10.1,14.0
1992-06-10,9.5,13.4
1992-06-24,8.4,14.9
1992-07-08,10.0,14.2
1992-07-22,7.8,19.4
1992-08-05,8.7,19.1
1992-08-19,8.2,18.6
1992-09-02,8.7,16.3
1992-09-16,9.1,14.0
1992-09-30,9.5,13.3
1992-10-14,10.4,9.3
1992-10-28,14.0,7.3
1992-11-11,10.6,7.4
1992-11-25,11.3,7.1
1992-12-09,11.2,5.6
1992-12-21,11.3,5.5
1993-01-12,11.1,5.8
1993-01-20,12.2,5.4
1993-02-03,13.9,3.8
1993-02-17,13.0,3.7
