date,oxygen_mg_l,temp_spot_c
2012-05-29,9.4,13.7
2012-06-18,9.5,15.3
2012-07-18,8.9,17.5
2012-09-20,9.7,14.3
2012-11-19,10.4,9.0
2012-12-12,11.6,4.6
2013-01-21,11.3,4.4
2013-02-13,11.2,6.8
2013-03-13,11.3,6.0
2013-04-11,11.0,8.0
2013-06-17,9.6,14.5
2013-07-24,8.7,19.3
2013-09-09,9.0,16.4
2013-10-17,10.0,12.5
2013-11-21,8.8,8.6
2013-12-11,10.8,7.4
2020-01-29,11.9,5.0
2020-02-17,11.6,6.1
2020-03-23,12.6,4.4
2020-04-15,11.3,7.8
2020-05-25,9.9,13.5
2020-06-23,9.7,14.2
2020-07-20,9.4,16.1
2020-08-19,9.2,16.3
2020-09-14,9.4,15.6
2020-10-19,10.8,10.1
2020-11-23,11.7,6.6
2020-12-15,11.7,5.5
2021-01-19,12.8,2.6
2021-02-10,12.1,4.4
2021-03-16,11.9,5.0
2021-04-27,10.6,9.4
2021-05-18,10.6,10.7
2021-06-14,9.6,14.4
2021-07-12,9.3,15.8
2021-08-18,9.4,15.5
2021-09-21,9.8,13.3
2021-10-13,10.3,11.1
2021-11-16,10.9,8.5
2021-12-07,11.6,5.5
2022-01-12,12.3,4.3
2022-02-08,12.6,3.8
2022-03-14,11.5,6.3
2022-04-05,11.3,6.7
2022-05-03,10.2,11.4
2022-06-07,9.1,15.8
2022-07-04,8.7,18.8
2022-08-03,8.5,19.7
2022-09-07,8.4,18.7
2022-10-11,10.3,12.9
2022-11-07,10.5,9.9
2022-12-07,11.8,7.1
