date,oxygen_mg_l,temp_spot_c
2021-01-27,12.9,3.3
2021-02-17,13.5,2.3
2021-03-10,11.5,6.6
2021-04-07,11.5,9.0
2021-05-25,8.3,15.2
2021-06-30,6.8,22.9
2021-07-27,6.8,22.4
2021-08-25,8.6,19.4
2021-09-14,8.2,20.0
2021-10-20,9.1,12.6
2021-11-17,10.4,8.2
2021-12-01,11.3,6.0
2024-01-16,13.2,2.8
2024-02-01,13.1,5.4
2024-03-05,11.3,8.5
2024-04-03,10.3,10.8
2024-05-06,8.8,15.4
2024-06-05,9.0,17.4
2024-07-01,7.7,22.3
2024-08-01,8.3,24.0
2024-09-19,8.9,17.7
2024-10-14,9.6,12.9
2024-11-04,9.3,11.9
2024-12-02,11.6,5.8
