date,oxygen_mg_l,temp_spot_c
1990-01-03,13.4,1.2
1990-01-10,13.8,
1990-01-24,12.4,3.6
1990-02-07,14.6,3.1
1990-02-21,12.6,2.5
1990-03-07,12.4,1.8
1990-03-21,12.2,5.8
1990-04-04,12.1,3.3
1990-04-18,12.3,4.5
1990-05-02,12.1,4.8
1990-06-13,10.9,6.8
1990-06-27,11.1,11.6
1990-07-11,11.6,7.8
1990-07-25,11.4,7.1
1990-08-08,11.2,7.6
1990-08-22,11.1,7.7
1990-09-05,11.0,7.9
1990-09-19,11.4,6.7
1990-10-02,11.2,8.7
1990-10-17,10.9,10.4
1990-10-31,11.7,5.2
1990-11-14,12.1,4.2
1990-11-28,12.0,2.1
1991-01-09,,2.0
1991-01-24,13.4,
1991-02-06,13.4,
1991-02-20,12.9,
1991-03-06,12.0,4.8
1991-03-20,11.6,5.8
1991-04-03,11.8,4.8
1991-04-17,12.3,1.9
1991-05-02,11.4,5.6
1991-05-16,11.2,6.5
1991-05-28,12.0,2.9
1991-06-12,11.9,6.8
1991-06-26,11.0,9.8
1991-07-10,11.1,8.2
1991-07-25,11.0,8.4
1991-08-07,10.4,10.0
1991-08-21,11.1,8.4
1991-09-04,10.7,10.0
1991-09-18,10.9,8.5
1991-10-02,11.1,7.5
1991-10-24,12.5,1.8
1991-10-30,12.2,3.7
1991-11-13,12.1,5.1
1991-11-27,13.1,4.5
1991-12-11,13.6,1.3
1992-01-08,13.0,1.2
1992-02-19,14.4,
1992-03-04,13.6,2.7
1992-03-18,13.3,3.0
1992-04-01,12.3,2.4
1992-04-15,12.0,4.7
1992-04-29,11.7,4.1
1992-05-13,11.5,6.5
1992-05-27,,6.7
1992-06-10,11.2,7.4
1992-06-24,11.1,8.4
1992-07-08,11.1,8.3
1992-07-22,11.1,10.5
1992-08-05,10.3,8.1
1992-08-26,11.0,8.9
1992-09-02,11.4,5.7
1992-09-16,11.4,6.3
1992-09-30,11.2,8.0
1992-10-14,11.9,4.7
1992-10-28,11.8,4.9
1992-11-11,11.7,4.8
1992-11-25,11.9,4.7
1992-12-09,12.1,2.9
1992-12-16,12.2,2.6
1993-01-13,12.3,3.2
1993-01-20,13.0,1.2
1993-02-03,13.5,0.4
1993-02-17,13.0,1.1
1993-03-03,12.8,2.0
1993-03-17,12.3,4.6
1993-03-31,12.3,1.6
1993-04-14,11.9,4.4
1993-04-28,11.4,6.0
1993-05-12,11.3,6.6
1993-05-26,11.2,9.4
1993-06-08,11.2,9.0
1993-06-23,10.9,9.1
1993-07-07,11.5,5.9
1993-07-21,11.2,8.0
1993-08-05,10.7,10.4
1993-08-18,11.0,8.2
1993-09-01,11.3,6.5
1993-09-15,11.1,6.5
1993-09-29,11.4,6.2
1993-10-13,11.2,7.8
1993-10-27,11.8,4.5
1993-11-10,11.8,5.3
1993-11-24,12.4,2.7
1993-12-08,12.4,2.2
1993-12-22,12.4,1.7
1994-01-04,12.1,3.4
1994-01-19,13.6,
1994-02-02,12.8,1.6
1994-02-16,13.4,
1994-03-03,12.4,3.0
1994-03-16,11.7,4.1
1994-03-30,12.0,4.0
1994-04-13,12.5,1.2
1994-04-27,12.0,4.2
1994-05-10,11.6,6.7
1994-05-25,11.1,7.2
1994-06-08,11.4,7.5
1994-06-22,11.2,7.8
1994-07-06,11.1,8.8
1994-07-20,11.0,9.4
1994-08-03,11.1,10.0
1994-08-17,11.1,7.6
1994-08-31,10.9,9.6
1994-09-14,11.0,8.2
1994-09-29,11.6,7.9
1994-10-12,12.0,4.9
1994-10-26,11.8,4.4
1994-11-09,12.1,4.7
1994-11-24,11.9,4.7
1994-12-07,12.5,2.2
1994-12-21,,2.7
1995-01-04,12.8,0.2
1995-01-18,13.1,0.2
1995-02-01,13.3,0.3
1995-02-15,13.4,1.9
1995-03-01,12.9,2.1
1995-03-15,12.6,4.1
1995-03-29,12.2,0.1
1995-04-12,12.0,3.7
1995-04-26,11.6,4.2
1995-05-10,11.4,6.5
1995-05-23,11.7,6.0
1995-06-07,11.4,6.1
1995-06-21,11.2,8.4
1995-07-05,11.2,7.7
1995-07-19,11.1,8.2
1995-08-02,,8.3
1995-08-16,10.9,8.2
1995-08-30,11.4,5.8
1995-09-13,11.1,7.5
1995-09-27,11.5,6.3
1995-10-11,11.4,7.8
1995-10-25,12.3,3.8
1995-11-08,12.1,4.0
1995-11-22,13.2,0.5
1995-12-06,13.3,
1995-12-20,12.5,2.6
1996-01-03,12.3,2.7
1996-01-17,13.5,
1996-01-31,13.6,0.1
1996-02-14,12.8,1.7
1996-02-28,13.3,0.5
1996-03-13,13.4,0.1
1996-03-27,11.9,3.8
1996-04-10,12.2,4.8
1996-04-25,11.6,7.1
1996-05-08,11.6,7.5
1996-05-22,11.4,7.5
1996-06-03,10.9,9.2
1996-06-19,,8.1
1996-07-03,11.2,7.1
1996-07-17,11.3,7.0
1996-07-31,10.8,9.7
1996-08-14,11.1,8.0
1996-08-28,10.9,7.9
1996-09-11,11.8,5.4
1996-09-25,11.5,5.9
1996-10-09,11.3,6.6
1996-10-23,11.7,5.6
1996-11-06,11.9,4.2
1996-11-20,11.6,5.1
1996-12-04,12.5,1.9
1996-12-18,12.0,4.1
1997-01-08,12.9,1.1
1997-01-15,13.0,1.3
1997-01-29,13.2,1.5
1997-02-12,12.1,4.1
1997-02-26,12.0,6.3
1997-03-12,12.5,3.5
1997-03-26,12.2,5.1
1997-04-09,12.4,4.1
1997-04-23,11.8,6.2
1997-05-06,10.8,8.1
1997-05-21,10.8,8.8
1997-06-04,11.2,7.9
1997-06-18,11.2,7.7
1997-07-02,11.3,7.4
1997-07-16,11.3,7.6
1997-07-30,11.2,7.8
1997-08-13,11.3,7.5
1997-08-27,11.1,8.2
1997-09-10,11.4,7.2
1997-09-24,11.7,5.5
1997-10-08,11.2,7.4
1997-10-22,11.5,5.9
1997-11-05,12.1,4.5
1997-11-19,12.1,3.1
1997-12-03,12.2,2.8
1997-12-17,12.8,2.1
1997-12-30,,1.8
1998-01-14,12.5,2.5
1998-01-28,13.6,0.3
1998-02-11,13.2,2.1
