date,oxygen_mg_l,temp_spot_c
2011-01-19,11.5,5.7
2011-02-16,11.9,5.3
2011-03-16,11.6,7.8
2011-05-11,10.5,15.1
2011-07-06,9.6,14.8
2011-08-31,9.8,13.0
2011-09-28,10.9,10.3
2011-11-23,14.3,6.1
2014-01-15,13.0,6.0
2014-02-19,12.4,6.5
2014-03-19,12.6,9.3
2014-04-15,11.8,8.0
2014-05-06,10.6,12.1
2014-06-11,9.5,19.7
2014-07-09,10.0,17.9
2014-08-06,9.7,15.0
2014-09-03,10.5,11.6
2014-10-01,10.5,12.8
2014-10-29,11.5,9.7
2014-11-19,11.6,7.8
2014-12-09,12.4,6.5
2017-01-11,12.8,4.5
2017-02-08,12.5,5.4
2017-03-08,12.7,5.3
2017-04-05,11.5,7.8
2017-05-10,11.7,8.2
2017-05-31,9.1,16.6
2017-06-28,9.5,16.3
2017-07-26,10.1,12.4
2017-08-23,10.2,13.9
2017-09-20,10.6,9.8
2017-10-18,10.7,10.5
2017-11-15,12.2,5.3
2017-12-13,12.8,3.8
2020-01-22,13.6,2.8
2020-02-19,12.3,5.2
2020-03-18,11.7,8.7
2020-04-22,11.2,11.0
2020-05-13,11.1,10.7
2020-06-17,10.0,12.4
2020-07-15,9.9,14.8
2020-08-12,9.6,15.7
2020-09-09,10.1,13.8
2020-10-14,11.3,9.0
2020-11-11,11.6,8.2
2020-12-02,12.3,4.6
2023-01-18,12.4,4.6
2023-02-15,12.8,4.4
2023-03-15,12.6,5.1
2023-04-12,12.0,6.5
2023-05-10,10.8,10.9
2023-06-14,10.4,14.0
2023-07-12,9.5,17.0
2023-08-02,10.1,14.1
2023-09-06,10.5,13.6
2023-10-11,10.4,12.4
2023-11-15,11.1,8.9
2023-12-11,12.2,5.7
