date,oxygen_mg_l,temp_spot_c
1990-01-10,12.0,4.9
1990-01-24,10.7,6.7
1990-02-07,10.4,6.8
1990-02-21,15.2,6.8
1990-03-07,13.1,6.0
1990-03-21,10.2,10.3
1990-04-04,9.6,10.7
1990-04-18,11.5,10.9
1990-05-02,14.9,15.6
1990-05-16,9.3,19.6
1990-05-30,8.4,19.4
1990-06-13,3.9,17.5
1990-06-27,6.8,21.8
1990-07-11,5.2,19.7
1990-07-25,4.3,23.7
1990-08-08,4.6,23.2
1990-08-22,4.1,20.8
1990-09-05,4.5,20.8
1990-09-19,7.8,17.5
1990-10-04,8.0,15.4
1990-10-17,7.4,15.8
1990-10-31,8.8,11.7
1990-11-14,7.0,9.9
1990-11-28,12.0,6.9
1990-12-12,11.9,4.0
1990-12-27,12.0,5.2
1991-01-09,11.7,6.7
1991-01-23,12.9,4.6
1991-02-20,13.9,3.8
1991-03-06,12.2,6.3
1991-03-20,10.4,10.6
1991-04-03,11.3,10.2
1991-04-17,10.9,13.4
1991-05-02,11.3,12.7
1991-05-16,11.8,14.0
1991-05-29,9.9,17.2
1991-06-12,7.0,18.6
1991-06-26,6.4,21.6
1991-07-10,5.1,24.5
1991-07-24,3.6,24.0
1991-08-07,6.0,23.6
1991-08-21,3.7,21.9
1991-09-04,4.0,22.5
1991-09-18,5.3,21.4
1991-10-01,4.5,17.8
1991-10-16,4.9,16.1
1991-10-30,6.3,10.1
1991-11-13,9.0,9.3
1991-11-28,8.5,7.1
1991-12-11,8.7,5.7
1991-12-18,10.4,3.6
1992-01-08,11.8,4.9
1992-01-22,11.0,4.8
1992-02-05,12.3,4.1
1992-02-19,10.7,5.9
1992-03-04,10.7,7.1
1992-03-18,12.0,8.1
1992-04-01,11.2,8.1
1992-04-14,12.1,12.5
1992-04-29,12.1,13.7
1992-05-13,11.1,16.7
1992-05-26,9.1,21.9
1992-06-10,4.0,20.3
1992-06-24,5.6,21.2
1992-07-08,4.0,20.6
1992-07-22,8.3,23.5
1992-08-05,5.8,23.5
1992-08-19,3.6,22.3
1992-09-02,5.8,20.4
1992-09-16,7.0,18.4
1992-09-30,6.1,18.4
1992-10-14,8.4,13.4
1992-10-28,10.0,9.7
1992-11-11,8.2,9.4
1992-11-25,11.8,8.1
1992-12-09,11.4,7.3
1992-12-22,11.8,6.4
1993-01-07,13.1,2.1
1993-01-20,11.9,6.2
1993-02-03,14.1,2.9
1993-02-16,12.5,4.5
1993-03-03,12.4,4.4
1993-03-17,14.6,8.1
1993-03-31,14.3,8.8
1993-04-14,12.5,10.7
1993-04-28,12.2,16.7
1993-05-12,9.2,18.7
1993-05-26,6.4,20.6
1993-06-08,3.3,21.9
1993-06-23,5.7,21.0
1993-07-07,4.6,19.8
1993-07-21,6.0,20.6
1993-08-04,6.4,22.1
1993-08-18,4.5,23.0
1993-09-01,2.4,19.4
1993-09-15,4.5,17.0
1993-09-29,4.5,16.5
1993-10-13,7.1,14.8
1993-10-27,7.6,10.3
1993-11-10,9.3,8.3
1993-11-24,11.3,5.1
1993-12-08,11.4,4.1
1993-12-22,11.1,6.4
1994-01-04,14.2,5.1
1994-01-19,13.6,5.2
1994-02-02,14.1,5.1
1994-02-16,14.9,2.7
1994-03-02,12.7,6.1
1994-03-16,12.1,8.5
1994-03-30,13.4,9.5
1994-04-13,12.2,8.5
1994-04-27,10.5,13.8
1994-05-10,12.9,15.5
1994-05-25,11.5,17.8
1994-06-08,14.3,17.9
1994-06-22,15.2,20.4
1994-07-06,6.6,25.3
1994-07-20,6.9,22.5
1994-08-03,8.7,25.1
1994-08-17,10.9,21.3
1994-08-31,8.5,19.7
1994-09-14,12.4,5.9
1994-09-28,10.1,17.0
1994-10-12,9.5,12.7
1994-10-26,9.2,11.1
1994-11-09,8.8,10.7
