date,oxygen_mg_l,temp_spot_c
1990-01-10,12.0,2.8
1990-01-24,11.8,6.3
1990-02-07,12.2,5.9
1990-02-21,11.6,8.1
1990-03-07,12.1,7.9
1990-03-21,11.7,11.0
1990-04-04,11.7,10.6
1990-04-18,11.3,10.2
1990-05-02,11.5,14.0
1990-05-16,10.7,16.8
1990-05-30,11.8,15.8
1990-06-12,9.3,14.2
1990-06-26,11.3,17.9
1990-07-11,10.1,14.8
1990-07-25,13.4,20.9
1990-08-08,10.1,20.8
1990-08-22,9.0,18.3
1990-09-05,8.6,17.1
1990-09-19,11.4,16.4
1990-10-01,9.7,15.7
1990-10-17,,13.0
1990-10-30,9.7,10.7
1990-11-14,10.7,9.0
1990-11-28,11.0,5.5
1990-12-12,11.9,3.6
1990-12-27,12.4,5.0
1991-01-09,13.6,7.5
1991-01-23,12.0,4.8
1991-02-06,13.1,1.9
1991-02-20,12.8,3.8
1991-03-06,12.8,6.4
1991-03-20,12.7,9.9
1991-04-03,13.3,9.6
1991-04-17,13.7,11.8
1991-04-29,13.9,11.2
1991-05-15,11.1,10.3
1991-05-28,12.7,12.4
1991-06-12,11.1,15.1
1991-06-26,10.5,17.7
1991-07-10,10.8,21.8
1991-07-24,10.5,20.9
1991-08-07,10.5,18.5
1991-08-21,13.9,20.7
1991-09-04,15.5,20.6
1991-09-18,10.4,17.8
1991-10-01,9.2,14.2
1991-10-16,10.2,14.0
1991-10-30,13.2,5.8
1991-11-13,10.4,6.4
1991-11-27,11.5,5.1
1991-12-11,12.3,1.7
1992-01-08,11.3,3.0
1992-01-22,13.9,2.1
1992-02-05,12.6,3.2
1992-02-19,12.5,2.9
1992-03-04,13.0,6.5
1992-03-18,12.3,5.7
1992-04-01,10.5,7.1
1992-04-15,10.6,9.5
1992-04-29,9.8,10.9
1992-05-13,9.4,12.3
1992-05-25,13.8,16.7
1992-06-10,8.6,15.3
1992-06-24,8.8,16.3
1992-07-08,9.3,15.9
1992-07-22,9.6,19.9
1992-08-05,10.0,21.6
1992-08-19,12.4,21.0
1992-09-02,9.4,17.5
1992-09-16,8.8,15.9
1992-09-30,9.5,14.4
1992-10-14,11.2,10.3
1992-10-28,12.0,7.7
1992-11-11,9.7,7.9
1992-11-25,12.0,7.3
1992-12-09,12.1,5.8
1992-12-21,11.2,5.2
1993-01-12,10.9,5.9
1993-01-20,12.7,5.6
1993-02-03,13.1,4.1
1993-02-17,11.9,4.1
1993-03-03,10.9,3.5
1993-03-17,11.5,7.7
1993-03-29,10.7,5.2
1993-04-14,10.0,9.4
1993-04-28,10.4,14.8
1993-05-12,12.4,16.1
1993-05-26,8.9,17.4
1993-06-07,7.0,17.4
1993-06-21,8.1,15.9
1993-07-07,8.6,17.3
1993-07-21,11.1,14.3
1993-08-04,9.0,17.8
1993-08-18,10.9,19.5
1993-09-01,9.1,13.4
1993-09-15,9.6,14.1
1993-09-29,9.0,12.6
1993-10-13,9.9,12.3
1993-10-27,10.1,7.8
1993-11-10,9.4,8.5
1993-11-24,11.8,2.4
1993-12-08,11.8,4.2
1993-12-22,14.1,6.0
1994-01-03,14.6,4.7
1994-01-19,11.7,3.4
1994-02-02,13.4,4.8
1994-02-17,11.5,2.4
1994-03-02,9.5,7.2
1994-03-16,10.8,8.4
1994-03-30,10.3,9.7
1994-04-13,11.3,6.4
1994-04-27,11.2,11.2
1994-05-10,9.6,13.1
1994-05-25,9.8,15.0
1994-06-08,10.2,12.7
1994-06-22,10.4,18.3
1994-07-06,,20.8
1994-07-21,10.1,18.7
1994-08-03,8.5,20.9
1994-08-17,12.0,18.0
1994-08-31,9.5,17.6
1994-09-14,8.9,15.1
1994-09-28,8.8,14.5
1994-10-12,11.3,9.6
1994-10-27,10.1,9.7
1994-11-09,9.3,9.7
1994-11-23,9.2,9.2
1994-12-07,10.4,6.1
1994-12-21,10.2,5.9
1995-01-02,11.4,4.3
1995-01-18,11.7,1.8
1995-02-01,13.7,4.8
1995-02-15,10.5,6.9
1995-03-02,11.4,6.2
1995-03-15,11.0,6.2
1995-03-29,12.1,5.8
1995-04-12,10.8,8.1
1995-04-26,10.2,11.6
1995-05-10,10.0,13.0
1995-05-23,10.2,11.8
1995-06-07,10.8,11.6
1995-06-20,10.0,15.1
1995-07-05,9.2,16.4
1995-07-19,8.4,17.6
1995-08-02,12.2,20.1
1995-08-16,8.3,15.8
1995-08-30,11.2,11.5
1995-09-13,8.5,14.0
1995-09-27,9.3,12.7
1995-10-11,9.5,13.5
1995-10-25,10.5,11.2
1995-11-08,10.8,5.5
1995-11-22,12.0,3.8
1995-12-06,11.3,3.9
1995-12-19,12.4,3.4
1996-01-02,6.9,3.1
1996-01-17,11.8,4.1
1996-01-31,12.3,1.8
1996-02-13,12.1,3.2
1996-02-28,13.1,4.4
1996-03-13,14.3,3.5
1996-03-27,11.7,7.8
1996-04-10,11.3,10.1
1996-04-24,9.8,13.9
1996-05-08,,14.3
1996-05-22,10.1,13.6
1996-06-04,9.2,15.2
1996-06-18,9.8,19.2
1996-07-01,9.5,16.2
1996-07-17,9.2,17.6
1996-07-31,11.2,20.3
1996-08-12,8.5,17.8
1996-08-28,7.7,16.4
1996-09-11,10.2,13.3
1996-09-25,9.8,11.7
1996-10-09,8.6,11.0
1996-10-23,10.6,9.3
1996-11-06,10.7,8.7
1996-11-20,10.3,5.9
1996-12-02,11.7,4.2
1996-12-17,10.7,4.1
1997-01-02,15.1,0.5
1997-01-15,11.5,1.9
1997-01-29,12.0,4.3
1997-02-13,11.3,5.5
1997-02-26,10.8,7.9
1997-03-12,11.2,8.3
1997-03-24,10.9,7.0
1997-04-08,11.3,7.9
1997-04-22,11.9,9.2
1997-05-05,9.5,13.1
1997-05-21,10.4,15.8
1997-06-04,10.1,15.4
1997-06-17,9.1,18.3
1997-07-02,8.4,16.1
1997-07-15,7.9,17.2
1997-07-30,9.4,17.3
1997-08-13,11.0,20.7
1997-08-27,11.7,21.5
1997-09-10,10.2,17.8
1997-09-24,12.6,15.7
1997-10-08,11.7,15.3
1997-10-22,9.0,9.6
1997-11-05,10.5,6.2
1997-11-19,10.8,6.6
1997-12-03,10.1,5.1
1997-12-17,11.4,2.7
1997-12-29,11.4,5.4
1998-01-14,11.6,3.9
1998-01-28,11.6,2.1
1998-02-11,12.6,3.6
1998-03-11,12.5,5.7
1998-03-25,11.5,5.5
1998-04-08,10.2,8.9
1998-04-22,,12.2
1998-05-06,,10.7
1998-05-19,13.8,15.9
1998-06-03,,17.9
1998-06-17,9.0,13.4
1998-07-01,11.2,19.9
1998-07-15,9.3,16.8
1998-07-29,12.2,19.7
1998-08-12,13.7,23.2
1998-08-26,8.6,15.7
1998-09-09,9.8,16.9
1998-09-23,9.4,12.6
1998-10-06,9.1,11.8
1998-10-21,9.7,10.2
1998-11-04,11.7,7.8
1998-11-18,11.7,5.5
1998-12-02,11.7,4.0
1998-12-16,11.7,5.1
1998-12-28,11.4,4.8
1999-01-13,12.2,3.6
1999-01-27,12.7,4.3
1999-02-10,12.5,2.2
1999-02-24,14.0,3.0
1999-03-10,12.4,6.2
1999-03-24,11.8,7.3
1999-04-07,11.0,9.6
1999-04-19,11.5,8.0
1999-05-05,9.1,11.9
1999-05-19,10.5,12.3
1999-06-01,9.9,15.8
1999-06-16,9.8,14.7
1999-06-29,9.4,15.6
1999-07-14,9.0,16.0
1999-07-28,9.0,17.1
1999-08-11,8.3,18.2
1999-08-25,9.4,16.5
1999-09-08,9.8,17.1
1999-09-22,9.0,16.5
1999-10-06,11.9,11.3
1999-10-20,10.8,8.6
1999-11-03,11.0,11.1
1999-11-17,10.4,5.4
1999-12-01,11.1,3.5
1999-12-14,11.2,5.1
1999-12-27,13.3,4.2
2000-01-12,12.2,4.9
2000-01-26,12.5,1.3
2000-02-09,11.7,6.3
2000-02-23,12.1,5.1
2000-03-08,11.7,6.6
2000-03-22,11.3,7.8
2000-04-05,10.2,9.6
2000-04-19,10.6,9.7
2000-05-03,10.0,15.3
2000-05-17,9.9,15.4
2000-05-30,9.9,12.9
2000-06-14,9.6,18.6
2000-06-28,11.8,16.8
2000-07-12,9.1,14.0
2000-07-26,9.8,17.4
2000-08-08,10.4,13.8
2000-08-23,9.0,18.0
2000-09-06,9.2,13.6
2000-09-21,,13.5
2000-10-04,8.6,13.3
2000-10-18,8.9,11.7
2000-11-02,9.0,10.0
2000-11-15,10.4,7.9
2000-11-29,10.5,7.0
2000-12-13,10.7,8.0
2000-12-27,11.2,4.2
2001-01-10,11.5,4.8
2001-01-24,10.8,5.1
2001-02-07,11.7,5.8
2001-02-21,13.7,5.7
2001-03-07,13.7,4.8
2001-03-20,15.2,7.6
2001-04-04,10.8,10.3
2001-04-18,11.8,7.6
2001-05-03,9.8,14.2
2001-05-16,9.3,14.2
2001-05-30,9.3,17.5
2001-06-12,11.0,12.3
2001-06-27,9.4,18.2
2001-07-11,12.7,18.2
2001-07-24,9.1,16.9
2001-08-08,8.0,18.2
2001-08-22,9.9,19.0
2001-09-05,8.6,16.0
2001-09-19,10.3,11.0
2001-10-04,9.0,14.3
2001-10-17,9.4,14.2
2001-10-30,9.6,12.3
2001-11-14,10.5,5.9
2001-11-28,10.8,5.8
2001-12-12,11.6,4.5
2001-12-27,13.1,1.7
2002-01-09,12.7,2.0
2002-01-23,11.4,4.7
2002-02-06,11.6,6.5
2002-02-19,11.7,5.7
2002-03-06,11.6,6.4
2002-03-20,11.3,9.6
2002-04-03,10.8,9.9
2002-04-17,11.4,9.0
2002-05-02,10.5,11.7
2002-05-15,10.1,14.3
2002-05-28,10.2,12.6
2002-06-11,10.6,13.5
2002-06-26,8.6,19.0
2002-07-10,9.4,18.7
2002-07-24,8.7,17.8
2002-08-06,8.2,17.6
2002-08-21,9.2,17.4
2002-09-04,9.6,14.9
2002-09-18,10.7,14.2
2002-10-01,10.9,10.5
2002-10-15,10.4,10.3
2002-10-30,11.1,9.2
2002-11-13,11.9,8.0
2002-11-27,11.7,8.4
2002-12-12,12.4,3.4
2003-01-08,12.8,3.6
2003-01-22,11.2,4.9
2003-02-05,11.8,4.0
2003-02-19,13.7,2.3
2003-03-06,11.8,6.4
2003-03-19,12.0,6.6
2003-04-02,10.7,10.0
2003-04-16,11.6,11.5
2003-04-29,9.7,12.9
2003-05-13,9.0,14.8
2003-05-27,9.6,14.7
2003-06-11,8.4,20.9
2003-06-23,12.2,20.1
2003-07-09,11.7,19.0
2003-07-22,17.1,21.7
2003-08-06,14.9,23.0
2003-08-20,9.6,21.6
2003-09-03,8.6,16.5
2003-09-17,11.8,16.0
2003-10-01,13.5,13.8
2003-10-14,9.4,10.6
2003-10-29,11.2,6.4
2003-11-12,11.0,6.1
2003-11-26,10.9,7.0
2003-12-09,11.5,3.8
2004-01-07,12.0,2.5
2004-01-22,12.4,3.7
2004-02-02,12.3,5.0
2004-02-04,12.3,5.0
2004-02-18,11.7,4.9
2004-03-03,13.3,3.5
2004-03-17,12.2,8.4
2004-03-31,11.7,7.6
2004-04-14,11.3,8.8
2004-04-28,10.9,12.5
2004-05-10,10.2,9.4
2004-05-26,10.5,14.6
2004-06-08,9.3,13.1
2004-06-23,9.0,15.5
2004-07-07,9.4,17.6
2004-07-21,10.4,20.9
2004-08-04,13.9,21.6
2004-08-18,9.0,18.7
2004-09-01,9.6,16.6
2004-09-14,10.0,17.0
2004-09-29,10.4,11.8
2004-10-13,10.1,10.4
2004-10-27,8.6,11.5
2004-11-10,10.2,7.6
2004-11-24,11.8,5.6
2004-12-08,12.3,5.1
2004-12-22,12.7,1.9
2005-01-12,12.0,5.0
2005-01-19,12.4,3.2
2005-02-02,13.5,1.8
2005-02-16,12.6,3.1
2005-03-02,12.7,1.9
2005-03-16,12.5,6.2
2005-03-30,11.2,9.4
2005-04-13,10.9,9.3
2005-04-27,10.5,10.4
2005-05-11,10.4,9.8
2005-05-31,9.0,16.6
2005-06-08,9.8,14.2
2005-06-22,10.8,19.7
2005-07-06,8.0,17.1
2005-07-19,7.8,18.9
2005-08-03,8.2,18.1
2005-08-17,9.2,15.5
2005-08-31,8.5,16.9
2005-09-14,9.2,15.8
2005-09-28,10.9,14.0
2005-10-12,10.1,12.0
2005-10-26,9.7,11.8
2005-11-07,9.3,10.4
2005-11-23,11.9,5.0
2005-12-07,11.1,4.8
2005-12-20,12.0,2.8
2006-01-11,11.1,2.4
2006-01-18,12.6,1.3
2006-02-01,13.1,1.0
2006-02-15,13.0,2.4
2006-03-07,12.2,2.9
2006-03-15,11.9,3.5
2006-03-29,12.2,6.8
2006-04-05,12.0,7.9
2006-04-26,10.5,11.9
2006-05-10,8.6,11.6
2006-05-17,9.3,13.6
2006-06-07,10.1,11.3
2006-06-21,10.8,19.5
2006-06-28,9.1,20.2
2006-07-19,11.0,20.2
2006-08-02,8.3,19.8
2006-08-23,8.5,16.4
2006-08-30,9.4,13.3
2006-09-13,9.1,16.7
2006-09-28,8.3,14.5
2006-10-11,9.6,12.2
2006-10-24,9.4,12.6
2006-11-07,11.4,7.8
2006-11-22,9.9,8.2
2006-12-06,9.6,3.0
2006-12-19,11.4,4.9
2007-01-03,11.7,4.5
2007-01-17,11.5,6.1
2007-01-31,11.8,4.2
2007-02-14,11.6,5.8
2007-02-28,10.6,6.9
2007-03-14,11.7,8.7
2007-03-28,11.3,8.2
2007-04-11,13.2,12.5
2007-04-25,8.6,20.7
2007-05-09,9.2,13.9
2007-05-23,8.5,17.8
2007-06-05,9.0,15.6
2007-06-20,8.8,20.3
2007-07-04,8.8,16.2
2007-07-17,9.4,20.0
2007-08-01,9.1,17.1
2007-08-13,8.6,16.1
2007-08-28,11.0,18.5
2007-09-12,10.8,13.0
2007-09-26,10.0,14.0
2007-10-10,10.2,12.4
2007-10-24,10.5,7.9
2007-11-06,11.1,8.8
2007-11-21,11.0,4.6
2007-12-05,11.7,6.0
2007-12-18,11.8,2.9
2008-01-02,11.1,3.4
2008-01-16,11.4,4.9
2008-01-30,11.5,4.8
2008-02-13,12.0,4.5
2008-02-27,12.2,7.9
2008-03-12,11.0,7.4
2008-03-26,11.7,5.3
2008-04-09,11.2,7.7
2008-04-23,11.8,8.8
2008-05-07,10.2,13.7
2008-05-20,9.8,12.7
2008-06-04,9.5,17.2
2008-06-18,9.4,14.9
2008-07-02,11.8,22.0
2008-07-15,10.6,14.7
2008-07-30,10.5,20.5
2008-08-13,8.1,18.8
2008-08-27,10.6,18.1
2008-09-10,9.2,16.9
2008-09-24,10.4,12.1
2008-10-08,10.8,12.3
2008-10-22,8.6,11.5
2008-11-05,10.2,9.4
2008-11-19,10.6,7.1
2008-12-03,12.1,3.7
2008-12-17,10.4,4.0
2009-01-07,11.3,1.6
2009-01-14,12.5,0.6
2009-01-28,11.1,2.5
2009-02-11,11.7,4.0
2009-02-25,12.0,4.0
2009-03-11,11.7,5.2
2009-03-25,11.4,6.1
2009-04-08,11.2,10.3
2009-04-22,10.5,12.6
2009-05-06,10.2,11.3
2009-05-18,8.7,14.2
2009-06-03,9.2,15.7
2009-06-17,9.0,17.8
2009-06-30,9.2,17.5
2009-07-15,8.6,17.4
2009-07-29,8.3,18.8
2009-08-12,8.8,19.0
2009-08-26,8.3,19.0
2009-09-09,9.4,15.8
2009-09-23,10.2,17.1
2009-10-07,10.0,14.5
2009-10-21,10.6,7.2
2009-11-04,9.8,9.2
2009-11-18,10.4,8.9
2009-12-02,7.6,6.4
2009-12-16,11.5,3.0
2010-01-13,11.9,2.3
2010-01-27,10.9,2.9
2010-02-10,7.3,3.0
2010-02-24,7.4,5.2
2010-03-10,7.5,2.1
2010-03-24,11.2,8.6
2010-04-07,11.4,9.1
2010-04-21,9.9,12.0
2010-05-05,9.2,10.9
2010-05-18,9.6,11.4
2010-06-01,,14.3
2010-06-16,8.0,15.9
2010-06-30,11.9,20.4
2010-07-14,10.7,23.1
2010-07-28,10.3,15.5
2010-08-11,8.9,18.0
2010-08-25,9.5,18.3
2010-09-08,9.9,13.8
2010-09-22,11.3,14.2
2010-10-06,9.9,12.9
2010-10-20,10.8,8.9
2010-11-03,11.4,9.0
2010-11-17,11.2,5.1
2010-12-01,11.8,3.0
2010-12-14,13.2,3.7
2011-01-12,13.5,5.2
2011-01-26,13.0,4.2
2011-02-09,12.2,5.0
2011-02-23,12.9,4.2
2011-03-09,13.8,5.2
2011-03-23,12.1,7.7
2011-04-06,10.6,11.9
2011-04-18,13.2,10.9
2011-05-04,11.9,13.8
2011-05-18,11.6,15.5
2011-05-30,10.7,17.9
2011-06-15,10.0,17.1
2011-06-27,10.5,18.7
2011-07-13,11.0,20.3
2011-07-27,9.4,15.5
2011-08-10,9.0,16.0
2011-08-24,10.3,21.9
2011-09-07,8.3,16.5
2011-09-21,9.3,14.6
2011-10-05,11.3,15.5
2011-10-18,10.5,10.4
2011-11-02,10.6,9.8
2011-11-16,10.4,7.2
2011-11-30,11.5,6.1
2011-12-13,12.1,5.8
2011-12-27,12.3,5.6
2012-01-11,12.9,5.4
2012-01-25,14.1,4.3
2012-02-07,14.0,0.1
2012-02-22,12.8,4.0
2012-03-07,12.5,5.9
2012-03-21,11.7,8.0
2012-04-02,11.2,9.7
