date,oxygen_mg_l,temp_spot_c
2002-04-17,12.3,12.9
2002-04-22,11.4,14.2
2002-05-15,11.4,17.7
2002-06-12,10.2,19.8
2002-07-10,11.1,23.4
2002-08-07,10.4,19.0
2002-09-04,,18.7
2002-10-01,11.3,13.5
2008-01-22,10.5,10.4
2008-03-04,9.8,11.4
2008-04-01,10.5,12.6
2008-07-08,7.3,21.0
2008-07-29,8.0,25.3
2008-08-25,8.3,19.7
2008-12-15,9.8,10.2
2009-01-26,10.0,8.7
2009-02-16,11.1,8.3
2009-03-16,11.0,8.5
2009-06-02,8.5,19.0
2009-07-27,8.2,20.5
2009-08-31,8.5,21.9
2009-10-13,9.9,15.8
2009-11-11,10.0,11.4
2009-12-10,11.2,9.3
2010-02-03,11.3,7.3
2010-02-22,10.8,9.4
2010-03-04,10.4,8.7
2010-04-15,9.9,13.6
2010-06-09,8.4,20.3
2010-08-02,8.4,19.1
2010-12-08,11.1,7.6
2010-12-27,12.2,4.8
2011-02-02,12.0,6.6
2011-03-02,11.4,8.9
2011-03-16,11.6,11.9
2011-04-13,10.1,11.7
2011-08-11,9.1,15.9
2011-09-01,8.7,17.9
2011-10-13,9.5,13.3
2011-11-23,11.1,8.1
2012-01-18,12.0,4.3
2012-02-02,12.9,2.8
2012-02-27,11.6,7.7
2012-04-16,10.6,9.9
2012-07-30,8.1,21.7
2012-08-27,8.0,19.9
2012-09-12,8.4,19.0
2012-10-22,9.4,12.8
2013-01-28,11.8,4.8
2013-02-28,12.0,6.4
2013-03-27,11.5,6.2
2013-04-24,10.0,13.2
2013-07-18,9.1,21.2
2013-08-29,8.3,18.1
2013-10-24,9.4,14.0
2013-11-21,10.2,9.2
2014-01-21,10.8,5.3
2014-02-04,11.0,5.3
2014-02-27,11.6,7.8
2014-03-18,11.7,11.6
2014-04-24,10.1,15.0
2014-07-08,8.5,21.9
2014-07-16,8.7,20.0
2014-08-05,9.3,18.3
2014-09-09,8.6,18.9
2014-10-09,9.2,15.5
2014-11-13,9.5,11.0
2014-12-11,10.5,9.0
2015-01-28,11.2,5.6
2015-02-18,11.4,5.4
2015-03-11,11.2,8.7
2015-04-15,10.0,14.6
2015-06-01,8.7,17.7
2015-08-12,7.9,23.9
2015-08-26,8.5,20.1
2015-10-22,10.4,11.7
2015-11-30,11.5,7.8
2016-01-07,9.7,8.4
2016-01-28,10.4,8.0
2016-02-17,10.5,7.7
2016-03-01,10.6,7.5
2016-03-30,11.2,11.0
2016-04-18,10.1,12.3
2016-07-27,10.5,22.8
2016-08-24,9.1,21.0
2016-10-05,9.4,14.5
2016-11-14,10.5,8.7
2016-12-01,10.8,6.7
2016-12-21,10.7,5.9
2017-01-18,11.5,4.8
2017-02-09,11.4,1.5
2017-03-02,11.2,8.4
2017-03-30,10.7,12.1
2017-07-05,9.4,21.0
2017-08-31,9.1,22.2
2017-11-28,10.1,8.0
2019-01-22,10.5,6.3
2019-02-18,10.2,7.4
2019-03-11,9.6,9.0
2019-04-02,8.7,13.0
2019-04-29,8.5,13.9
2019-05-21,8.1,15.8
2019-06-17,8.1,20.8
2019-07-08,7.6,21.8
2019-08-06,8.4,20.7
2019-09-04,9.0,19.5
2019-10-09,10.0,13.6
2019-11-04,9.9,11.0
2019-11-25,10.9,8.5
