date,oxygen_mg_l,temp_spot_c
2000-01-12,,5.3
2000-01-26,11.3,2.0
2000-02-09,12.3,8.0
2000-02-22,,5.2
2000-03-08,,7.6
2000-03-22,10.1,9.1
2000-04-05,12.7,9.3
2000-04-19,11.9,10.8
2000-05-03,11.8,18.0
2000-05-17,11.2,21.9
2000-05-30,9.7,16.4
2000-06-14,11.1,22.8
2000-06-28,6.8,20.1
2000-07-12,9.6,18.3
2000-07-26,7.8,18.9
2000-08-09,7.3,20.4
2000-08-23,7.2,21.3
2000-09-06,9.4,17.9
2000-09-20,8.4,16.8
2000-10-04,8.7,16.0
2000-10-18,10.2,12.9
2000-11-02,,11.5
2000-11-15,10.8,8.6
2000-11-29,11.2,7.4
2000-12-13,10.5,7.7
2000-12-27,13.2,3.4
2001-01-10,13.8,4.6
2001-01-24,11.8,2.9
2001-02-07,12.5,5.8
2001-02-21,12.2,6.3
2001-03-07,13.2,4.8
2001-03-21,12.2,7.4
2001-04-04,12.2,10.4
2001-04-18,12.4,9.0
2001-05-02,12.1,14.9
2001-05-16,14.5,17.4
2001-05-30,18.6,20.3
2001-06-12,12.4,16.7
2001-06-27,17.1,21.1
2001-07-11,5.8,21.6
2001-07-25,7.7,21.7
2001-08-08,5.3,22.2
2001-08-22,7.2,22.6
2001-09-05,8.1,19.4
2001-09-19,9.3,14.3
2001-10-04,9.3,15.6
2001-10-17,8.8,14.7
2001-10-30,9.3,12.8
2001-11-14,11.9,6.4
2001-11-28,12.9,5.8
2001-12-12,13.8,4.8
2001-12-27,11.6,1.1
2002-01-09,13.2,
2002-01-24,14.3,3.3
2002-02-06,13.7,7.3
2002-02-20,13.4,6.3
2002-03-06,12.9,6.3
2002-03-20,11.9,9.6
2002-04-03,12.9,10.7
2002-04-17,12.7,9.9
2002-05-15,11.6,16.2
2002-06-12,10.1,18.0
2002-07-10,9.4,21.2
2002-07-24,7.6,19.8
2002-08-07,7.4,21.8
2002-08-21,7.6,21.4
2002-09-04,8.4,21.1
2002-09-18,8.6,16.8
2002-10-16,9.7,11.8
2002-10-30,11.7,9.6
2002-11-13,11.7,7.9
2002-11-27,13.0,7.9
2002-12-11,13.9,3.2
2003-01-08,12.5,2.8
2003-01-22,12.9,4.6
2003-02-05,13.3,3.6
2003-02-19,13.3,2.2
2003-03-05,11.9,6.3
2003-03-19,12.2,7.4
2003-04-02,16.4,10.9
2003-04-16,14.1,10.9
2003-04-29,11.5,15.1
2003-05-14,9.6,17.3
2003-06-11,7.7,24.5
2003-06-25,8.1,23.8
2003-07-09,8.6,21.9
2003-07-23,7.7,24.3
2003-08-06,7.3,25.8
2003-08-20,7.8,24.1
2003-09-03,9.2,19.9
2003-09-17,8.3,17.2
2003-10-01,8.8,15.4
2003-10-15,8.9,11.2
2003-10-29,10.3,7.8
2003-11-12,10.3,6.9
2003-11-26,10.0,7.6
2003-12-10,11.4,4.2
2004-01-07,13.6,2.6
2004-01-21,14.0,3.8
2004-02-04,14.4,5.8
2004-02-18,12.7,5.1
2004-03-03,13.4,3.7
2004-03-17,19.5,7.0
2004-03-31,13.8,9.1
2004-04-14,13.7,10.2
2004-04-28,14.1,16.0
2004-05-12,10.3,12.4
2004-05-26,10.8,16.5
2004-06-08,14.1,19.2
2004-07-07,5.8,21.2
2004-08-04,5.8,24.1
2004-08-18,6.6,22.7
2004-09-01,7.6,19.0
2004-09-15,8.0,19.1
2004-09-29,9.1,14.5
2004-10-13,9.5,12.8
2004-10-27,9.3,11.5
2004-11-10,9.2,9.3
2004-11-24,12.3,6.1
2004-12-08,11.2,5.5
2005-01-12,12.8,5.8
2005-01-19,12.4,4.1
2005-02-02,13.7,2.5
2005-02-16,12.5,3.4
2005-03-02,13.6,1.9
2005-03-16,13.9,6.5
2005-03-30,11.8,10.3
2005-04-13,12.7,10.5
2005-04-27,10.9,12.8
2005-06-01,19.1,20.0
2005-06-08,14.7,18.1
2005-06-22,16.4,22.5
2005-07-06,9.4,22.1
2005-07-20,6.0,22.8
2005-08-03,5.9,21.7
2005-08-17,8.1,20.6
2005-08-31,8.1,20.6
2005-09-14,7.5,20.1
2005-09-28,8.4,16.8
2005-10-12,8.8,14.3
2005-10-26,9.3,12.9
2005-11-09,9.7,11.3
2005-11-23,10.7,6.3
2005-12-07,12.5,3.8
2005-12-21,13.4,3.5
2006-01-11,13.3,2.0
2006-01-18,13.3,1.3
2006-02-15,14.1,2.1
2006-03-01,12.9,3.5
2006-03-08,13.2,3.1
2006-03-29,12.2,8.2
2006-04-05,11.4,9.2
2006-04-26,11.9,13.8
2006-05-10,18.1,16.5
2006-05-17,14.1,18.0
2006-06-07,10.6,14.2
2006-06-21,10.5,23.1
2006-07-05,6.0,23.8
2006-07-19,6.5,25.6
2006-08-02,6.8,23.8
2006-08-16,7.8,18.7
2006-08-30,8.8,17.4
2006-09-13,8.7,20.1
2006-09-27,8.6,18.8
2006-10-11,9.6,15.3
2006-10-25,9.3,12.8
2006-11-08,10.1,11.0
2006-11-22,10.0,9.7
2006-12-06,9.9,9.3
2006-12-20,11.4,6.0
2009-03-03,12.8,5.1
2009-04-21,10.5,14.1
2009-05-13,9.9,15.8
2009-07-21,8.6,20.2
2009-08-11,8.4,22.1
2009-09-08,8.2,19.1
2009-10-13,9.0,14.2
2014-01-08,11.7,5.4
2014-02-05,12.7,4.3
