date,oxygen_mg_l,temp_spot_c
1990-01-10,11.1,2.5
1990-01-24,9.6,5.6
1990-02-07,10.6,4.8
1990-02-21,12.6,5.7
1990-03-07,12.6,5.3
1990-03-21,10.8,9.4
1990-04-04,10.7,10.9
1990-04-18,10.8,8.9
1990-05-02,13.2,14.2
1990-05-16,8.5,17.7
1990-05-30,7.4,16.8
1990-06-13,6.3,15.3
1990-06-28,5.3,21.0
1990-07-11,6.3,17.1
1990-07-25,6.5,20.9
1990-08-08,4.1,22.5
1990-08-22,5.2,18.6
1990-09-05,4.6,18.6
1990-09-19,7.0,15.6
1990-10-04,6.8,14.3
1990-10-17,8.5,13.5
1990-10-31,8.2,9.5
1990-11-14,8.4,8.0
1990-11-28,11.2,5.4
1990-12-12,11.2,2.4
1990-12-28,10.9,3.5
1991-01-09,12.8,5.3
1991-01-23,12.0,2.2
1991-02-06,12.1,0.6
1991-02-20,12.0,2.3
1991-03-06,10.4,5.5
1991-03-20,9.7,8.9
1991-04-03,11.5,7.5
1991-04-17,13.0,12.6
1991-05-02,10.8,11.3
1991-05-15,9.6,13.4
1991-05-28,8.9,14.9
1991-06-12,7.7,16.1
1991-06-26,5.8,18.6
1991-07-10,7.2,23.5
1991-07-24,6.8,22.8
1991-08-07,5.9,21.7
1991-08-21,6.4,20.5
1991-09-04,8.4,20.2
1991-09-18,7.3,18.8
1991-10-01,4.9,15.5
1991-10-16,6.7,14.0
1991-10-30,8.6,7.6
1991-11-13,8.8,7.3
1991-11-27,9.0,5.5
1991-12-11,11.5,1.8
1991-12-18,10.5,0.6
1992-01-08,12.2,4.8
1992-01-22,11.4,2.7
1992-02-05,11.2,2.8
1992-02-19,12.1,3.4
1992-03-04,12.3,6.4
1992-03-18,12.0,5.3
1992-04-01,11.0,6.9
1992-04-15,10.8,10.6
1992-04-29,11.1,13.2
1992-05-13,9.9,14.0
1992-05-26,9.2,19.9
1992-06-10,4.0,18.4
1992-06-24,4.8,19.0
1992-07-08,4.4,20.0
1992-07-22,6.6,22.4
1992-08-05,6.0,21.7
1992-08-19,6.5,20.1
1992-09-02,6.0,18.4
1992-09-16,7.8,16.5
1992-09-30,7.4,16.4
1992-10-14,8.0,12.1
1992-10-28,9.5,7.7
1992-11-11,8.5,8.2
1992-11-25,10.1,8.1
1992-12-09,10.8,5.4
1992-12-22,10.3,4.0
1993-01-13,12.1,3.9
1993-01-27,12.1,4.8
1993-02-10,11.8,3.0
1993-02-24,11.9,2.4
1993-03-10,12.4,4.5
1993-03-24,11.0,8.4
1993-04-07,11.0,8.6
1993-04-21,11.2,13.2
1993-05-05,11.9,17.1
1993-05-19,11.6,19.5
1993-06-02,8.6,20.1
1993-06-16,5.5,19.0
1993-06-30,10.1,18.9
1993-07-07,9.8,21.0
1993-07-21,7.9,19.3
1993-08-04,9.8,21.4
1993-08-18,9.3,20.1
1993-09-01,8.0,16.4
1993-09-15,7.6,15.3
1993-09-29,7.6,14.0
1993-10-13,7.2,14.2
1993-10-27,6.1,8.1
1993-11-10,8.5,7.6
1993-11-24,10.7,2.5
1993-12-08,10.3,3.3
1993-12-22,10.6,5.4
1994-01-12,12.4,5.6
1994-01-26,12.4,4.9
1994-02-09,12.6,5.0
1994-02-23,12.3,0.9
1994-03-09,12.0,7.1
1994-03-23,12.4,6.4
1994-04-06,12.2,7.0
1994-04-20,11.5,9.1
