date,oxygen_mg_l,temp_spot_c
1990-01-16,11.7,1.5
1990-01-23,10.9,3.5
1990-02-06,11.3,3.9
1990-02-20,13.4,6.1
1990-03-06,11.8,5.9
1990-03-20,11.6,9.2
1990-04-03,13.5,10.2
1990-04-17,11.7,8.0
1990-05-02,11.2,13.1
1990-05-15,14.8,16.3
1990-05-30,12.4,13.8
1990-06-11,8.5,13.3
1990-06-27,13.3,19.5
1990-07-10,11.1,15.2
1990-07-24,14.2,19.3
1990-08-07,8.2,20.0
1990-08-21,9.0,17.8
1990-09-04,9.1,17.8
1990-09-18,10.5,14.4
1990-10-01,9.3,13.1
1990-10-16,9.8,12.9
1990-10-30,10.1,9.5
1990-11-13,10.8,6.7
1990-11-27,10.9,4.9
1990-12-11,12.3,2.2
1990-12-27,11.7,3.7
1991-01-08,13.2,5.9
1991-01-22,11.9,3.1
1991-02-05,12.9,0.4
1991-02-19,12.3,1.9
1991-03-05,11.8,5.2
1991-03-19,12.6,9.6
1991-04-02,12.1,8.4
1991-04-16,14.4,12.2
1991-05-02,11.6,10.6
1991-05-15,11.4,9.6
1991-05-29,,12.5
1991-06-11,8.9,14.4
1991-06-25,8.9,17.2
1991-07-09,11.4,21.2
1991-07-23,7.0,18.2
1991-08-06,9.3,16.2
1991-08-20,10.7,18.3
1991-09-03,12.4,17.5
1991-09-17,10.3,17.5
1991-10-01,9.1,13.4
1991-10-15,9.1,13.3
1991-10-29,11.7,6.5
1991-11-12,10.5,6.0
1991-12-10,13.1,1.2
1991-12-17,10.7,0.5
1992-01-07,12.5,2.7
1992-01-21,11.4,1.4
1992-02-04,13.2,1.5
1992-02-18,12.3,3.1
1992-03-03,12.8,5.4
1992-03-17,13.1,4.9
1992-03-31,11.4,7.5
1992-04-15,9.9,10.1
1992-04-28,10.2,13.5
1992-05-12,11.0,13.6
1992-05-26,15.0,17.2
1992-06-09,8.8,15.7
1992-06-23,10.2,16.4
1992-07-07,9.9,17.0
1992-07-21,10.3,19.9
1992-08-04,8.2,21.1
1992-08-18,9.8,19.5
1992-09-01,10.4,18.9
1992-09-15,11.6,16.4
