date,oxygen_mg_l,temp_spot_c
2002-01-02,12.6,3.0
2002-01-16,10.3,3.2
2002-01-31,11.7,5.9
2002-02-13,11.2,6.3
2002-02-27,11.2,5.8
2002-03-13,11.2,7.7
2002-03-27,11.6,5.8
2002-04-10,11.1,5.8
2002-04-24,11.2,7.5
2002-05-07,10.7,8.8
2002-05-22,10.9,12.2
2002-06-04,10.1,14.0
2002-06-19,10.0,16.6
2002-07-03,10.1,16.2
2002-07-17,9.4,14.1
2002-07-30,9.4,15.4
2002-08-13,9.9,12.9
2002-08-28,9.9,13.3
2002-09-11,10.3,11.5
2002-09-24,10.5,8.5
2002-10-09,10.4,9.1
2002-10-23,10.3,8.9
2002-11-06,10.6,7.9
2002-11-19,10.7,6.9
2002-12-04,10.9,6.3
2012-01-11,12.0,5.6
2012-01-25,11.9,4.8
2012-02-08,12.3,4.1
2012-02-22,12.1,5.7
2012-03-07,11.9,6.3
2012-03-21,11.7,6.7
2012-04-04,11.3,7.3
2012-04-18,11.4,7.8
2012-05-02,10.4,12.0
2012-05-15,10.6,10.4
2012-05-30,10.3,12.0
2012-06-13,10.5,11.1
2012-06-27,9.9,14.3
2012-07-11,9.4,13.7
2012-07-25,9.8,15.1
2012-08-08,9.7,15.9
2012-08-22,9.3,15.9
2012-09-05,9.9,13.9
2012-09-19,10.3,11.4
2012-10-08,10.6,11.5
2012-10-17,10.4,10.6
2012-10-30,10.9,7.8
2012-11-14,11.2,8.4
2012-11-28,11.0,7.4
2012-12-12,12.3,4.3
2018-01-23,12.7,3.9
2018-02-20,12.2,4.2
2018-03-14,11.9,6.2
2018-04-11,11.2,9.0
2018-05-07,10.3,12.9
2018-06-06,9.7,15.7
2018-07-04,9.8,14.7
2018-08-08,9.6,16.4
2018-09-03,10.3,15.4
2018-10-09,10.0,13.3
2018-10-30,10.8,8.8
2018-11-28,12.0,6.8
2020-01-22,12.1,5.4
2020-02-19,12.0,5.4
2020-03-18,11.5,8.2
2020-04-22,11.1,9.5
2020-05-13,10.9,9.8
2020-06-17,10.0,13.7
2020-07-15,10.0,13.0
2020-08-12,9.5,14.3
2020-09-09,9.6,15.3
2020-10-14,11.0,9.1
2020-11-11,11.4,9.2
2020-12-02,11.4,6.0
2023-01-18,11.5,6.0
2023-02-15,12.2,5.6
2023-03-15,11.8,6.7
2023-04-12,11.3,8.2
2023-05-10,10.7,10.0
2023-06-14,10.2,15.8
2023-07-12,8.9,17.0
2023-08-02,9.3,15.4
2023-09-06,9.2,15.2
2023-10-11,9.8,13.3
2023-11-15,11.3,9.0
2023-12-11,11.5,5.5
