date,oxygen_mg_l,temp_spot_c
2000-01-12,12.7,4.2
2000-01-26,14.2,0.2
2000-02-09,11.9,5.9
2000-02-24,13.8,3.5
2000-03-08,12.2,5.7
2000-03-20,12.4,5.2
2000-04-05,11.7,8.1
2000-04-17,11.4,8.8
2000-05-03,8.5,13.5
2000-05-16,9.1,16.7
2000-05-29,8.6,13.2
2000-06-14,8.4,20.2
2000-06-28,8.0,14.4
2000-07-12,9.5,14.9
2000-07-26,7.5,16.5
2000-08-02,8.8,18.0
2000-08-09,8.8,16.3
2000-08-16,8.1,18.9
2000-09-06,8.8,13.6
2000-09-20,8.3,13.0
2000-10-04,9.0,13.5
2000-10-18,9.2,11.6
2000-11-02,9.8,9.5
2000-11-15,10.4,7.6
2000-11-27,9.9,6.6
2000-12-11,11.1,6.6
2000-12-27,12.2,2.4
2001-01-10,12.4,4.4
2001-01-24,12.3,2.7
2001-02-07,12.1,4.9
2001-02-21,12.1,4.6
2001-03-07,12.6,3.1
2001-03-21,12.4,5.1
2001-04-04,11.3,7.9
2001-04-18,11.7,6.4
2001-05-02,9.9,13.4
2001-05-16,9.2,14.4
2001-05-17,8.7,14.4
2001-05-30,8.9,16.5
2001-06-11,9.2,13.1
2001-06-26,9.0,16.8
2001-07-11,9.0,17.3
2001-07-25,8.7,17.4
2001-08-08,8.4,17.2
2001-08-21,7.7,18.6
2001-09-05,8.8,15.0
2001-09-19,10.2,11.0
2001-10-01,10.0,11.8
2001-10-17,10.6,11.9
2001-10-29,10.0,10.7
2001-11-14,12.0,5.3
2001-11-28,11.7,6.7
2001-12-12,12.4,5.2
2001-12-17,13.3,1.9
2007-01-29,13.0,4.1
2007-04-02,11.5,9.1
2007-05-07,10.0,14.3
2007-06-11,9.2,20.6
2007-07-09,10.0,15.4
2007-08-06,10.2,17.4
2007-08-28,10.2,16.0
2007-09-24,10.0,12.8
2007-10-22,11.7,7.0
2014-01-22,12.8,4.2
2014-02-19,13.0,4.4
2014-03-19,11.9,8.3
2014-04-16,12.5,9.7
2014-05-14,10.1,12.5
2014-06-11,10.3,22.1
2014-07-09,8.2,17.7
2014-08-06,8.0,18.8
2014-09-03,9.5,13.9
2014-09-29,9.9,13.4
2014-10-29,11.0,8.6
2014-11-05,10.6,9.3
2014-11-26,12.4,4.6
2014-12-15,12.0,6.6
2017-01-31,13.3,1.1
2017-02-14,13.4,2.3
2017-03-13,12.1,5.5
2017-04-10,10.5,11.2
2017-05-08,9.5,12.7
2017-06-06,7.9,16.1
2017-07-03,8.2,17.6
2017-08-01,8.6,18.3
2017-09-05,9.6,14.0
2017-10-09,10.6,10.5
2017-11-07,11.2,8.1
2017-12-18,12.6,4.6
2020-01-22,13.0,2.3
2020-02-04,11.6,6.3
2020-03-17,11.7,7.2
2020-04-22,10.9,11.4
2020-05-12,8.9,11.2
2020-06-03,9.8,17.2
2020-07-14,8.2,17.6
2020-08-04,6.5,19.1
2020-09-02,8.5,14.5
2020-10-06,8.5,12.3
2020-11-04,9.8,10.8
2020-12-02,12.7,2.5
2023-01-18,12.2,4.3
2023-02-22,12.0,6.7
2023-03-13,12.4,5.4
2023-04-11,11.2,8.9
2023-06-28,7.3,19.1
2023-07-12,6.9,21.7
2023-08-09,9.8,13.4
2023-09-20,8.9,16.4
2023-10-23,9.5,10.5
2023-11-15,10.8,9.2
2023-12-06,12.8,3.3
