date,oxygen_mg_l,temp_spot_c
2016-02-04,13.26,6.3
2016-02-05,13.29,6.1
2016-02-06,13.34,6.0
2016-02-07,13.31,5.9
2016-02-08,13.27,5.9
2016-02-09,13.06,6.1
2016-02-10,12.99,6.1
2016-02-11,13.17,5.9
2016-02-12,13.23,5.8
2016-02-13,13.15,5.7
2016-02-14,12.94,5.8
2016-02-15,12.93,6.0
2016-02-16,13.22,6.0
2016-02-17,13.15,6.0
2016-02-18,13.01,5.8
2016-02-19,12.86,5.7
2016-02-20,12.89,5.5
2016-02-21,12.85,5.3
2016-02-22,12.98,5.7
2016-02-23,13.14,6.4
2016-02-24,13.06,6.4
2016-02-25,13.1,6.4
2016-02-26,13.1,6.3
2016-02-27,12.99,6.0
2016-02-28,13.01,5.7
2016-02-29,13.0,5.4
2016-03-01,13.1,5.0
2016-03-02,13.27,4.9
2016-03-03,12.82,4.9
2016-03-04,12.56,5.1
2016-03-05,12.41,5.4
2016-03-06,12.24,5.7
2016-03-07,12.16,5.8
2016-03-08,12.2,5.9
2016-03-09,12.09,6.1
2016-03-10,12.11,6.1
2016-03-11,12.16,6.2
2016-03-12,12.24,6.3
2016-03-13,12.26,6.2
2016-03-14,12.28,6.3
2016-03-15,12.17,6.3
2016-03-16,12.21,6.4
2016-03-17,12.26,6.5
2016-03-18,12.29,6.8
2016-03-19,12.38,7.2
2016-03-20,12.32,7.4
2016-03-21,12.25,7.7
2016-03-22,12.19,7.8
2016-03-23,12.1,8.0
2016-03-24,12.1,8.2
2016-03-25,11.92,8.3
2016-03-26,11.8,8.5
2016-03-27,11.81,8.6
2016-03-28,11.89,8.9
2016-03-29,11.98,9.2
2016-03-30,11.82,9.3
2016-03-31,11.85,9.9
2016-04-01,11.69,10.3
2016-04-02,11.63,10.6
2016-04-03,11.57,10.9
2016-04-04,11.62,11.4
2016-04-05,11.5,12.0
2016-04-06,10.99,12.4
2016-04-07,10.55,12.6
2016-04-08,10.13,12.6
2016-04-09,10.0,12.4
2016-04-10,10.08,12.5
2016-04-11,10.25,12.6
2016-04-12,10.36,12.6
2016-04-13,10.5,12.8
2016-04-14,10.49,12.9
2016-04-15,10.36,12.6
2016-04-16,10.41,12.6
2016-04-17,10.25,12.3
2016-04-18,10.31,12.4
2016-04-19,10.67,12.4
2016-04-20,10.79,12.3
2016-04-21,10.7,12.4
2016-04-22,10.66,12.6
2016-04-23,10.49,12.8
2016-04-24,10.24,12.5
2016-04-25,10.12,12.4
2016-04-26,10.22,11.9
2016-04-27,10.45,11.4
2016-04-28,10.62,10.9
2016-04-29,10.94,10.8
2016-04-30,11.11,11.2
2016-05-01,11.03,11.4
2016-05-02,11.01,11.8
2016-05-03,10.89,12.3
2016-05-04,10.84,12.7
2016-05-05,10.64,13.4
2016-05-06,10.53,14.3
2016-05-07,10.1,14.6
2016-05-08,10.3,15.6
2016-05-09,10.1,16.3
2016-05-10,9.98,16.7
2016-05-11,9.66,17.2
2016-05-12,9.0,17.3
2016-05-13,8.53,17.1
2016-05-14,8.17,16.9
2016-05-15,8.56,16.0
2016-05-16,8.92,14.8
2016-05-17,8.7,14.2
2016-05-18,8.94,14.3
2016-05-19,9.17,13.7
2016-05-20,9.02,14.2
2016-05-21,8.95,14.7
2016-05-22,8.98,15.6
2016-05-23,9.06,15.9
2016-05-24,8.61,15.9
2016-05-25,8.35,16.0
2016-05-26,8.51,16.1
2016-05-27,8.56,16.5
2016-05-28,8.52,16.9
2016-05-29,8.4,17.5
2016-05-30,7.97,17.9
2016-05-31,8.45,17.9
2016-06-01,8.46,17.5
2016-06-02,8.44,17.0
2016-06-03,8.75,16.8
2016-06-04,8.78,16.9
2016-06-05,8.8,16.9
2016-06-06,8.84,17.4
2016-06-07,8.81,18.0
2016-06-08,8.59,18.2
2016-06-09,8.53,18.3
2016-06-10,8.93,18.2
2016-06-11,9.14,17.6
2016-06-12,9.15,17.2
2016-06-13,9.15,17.0
2016-06-14,8.99,17.0
2016-06-15,8.97,17.2
2016-06-16,9.03,17.4
2016-06-17,9.04,17.1
2016-06-18,9.36,16.7
2016-06-19,9.47,16.4
2016-06-20,9.27,16.8
2016-06-21,9.31,16.8
2016-06-22,9.15,17.2
2016-06-23,8.88,18.2
2016-06-24,8.37,19.4
2016-06-25,7.81,20.5
2016-06-26,7.78,20.7
2016-06-27,8.15,20.6
2016-06-28,7.96,20.6
2016-06-29,7.66,20.3
2016-06-30,7.42,20.2
2016-07-01,7.44,20.3
2016-07-02,7.7,20.4
2016-07-03,7.67,20.0
2016-07-04,7.71,20.0
2016-07-05,7.67,20.1
2016-07-06,7.86,20.0
2016-07-07,7.8,20.2
2016-07-08,7.8,20.6
2016-07-09,7.94,21.2
2016-07-10,7.76,21.5
2016-07-11,7.84,22.1
