date,oxygen_mg_l,temp_spot_c
2021-01-27,13.0,2.9
2021-02-17,14.0,1.8
2021-03-10,11.9,6.2
2021-03-15,11.7,6.8
2021-04-07,12.4,8.8
2021-05-25,9.4,15.2
2021-06-30,6.9,22.9
2021-07-27,7.5,22.2
2021-08-25,8.8,19.8
2021-09-14,8.8,20.3
2021-10-20,9.3,12.3
2021-11-17,10.5,7.8
2021-12-01,11.7,6.2
2022-03-09,12.4,5.4
2022-04-06,11.8,8.6
2022-05-09,9.8,17.3
2022-06-09,7.9,20.7
2022-07-06,12.2,24.3
2022-08-16,11.9,24.8
2022-09-05,9.9,21.9
2022-10-05,8.7,13.5
2024-01-04,11.3,9.8
2024-02-01,12.8,5.4
2024-03-05,11.4,8.5
2024-04-03,10.8,10.9
2024-05-06,8.9,15.5
2024-06-05,8.9,17.3
2024-07-01,7.6,22.2
2024-08-01,8.8,23.4
2024-09-19,9.8,17.5
2024-10-14,9.4,12.7
2024-11-04,9.1,11.7
2024-12-02,11.3,5.4
