case,shutdown_year,min_date,max_date,status,did_estimate,upstream_pre,upstream_post,downstream_pre,downstream_post,upstream_diff,downstream_diff
Isar 1 (Isar River) - Shutdown May 2011,2011,2010-01-01,2012-12-31,success,-1.2671570189082324,11.164383561643836,12.044322845417236,12.656164383561643,12.26894664842681,0.8799392837733997,-0.3872177351348327
"Gundremmingen C (Donau River) - Shutdown Dec 31, 2021",2021,2020-01-01,2022-12-31,success,0.10165510718789683,11.110382513661202,10.822252747252746,12.036612021857923,11.850137362637364,-0.28812976640845633,-0.1864746592205595
"Gundremmingen B (Donau River) - Shutdown Dec 31, 2017",2017,2016-01-01,2022-12-31,success,0.35865849996997845,10.539071038251366,11.033626373626372,11.054918032786883,11.908131868131868,0.49455533537500607,0.8532138353449845
"Isar 2 (Isar River) - Shutdown Apr 15, 2023",2023,2022-01-01,2024-12-31,success,-0.007870621966528546,13.018082191780822,12.775102599179206,13.171506849315067,12.920656634746923,-0.24297959260161583,-0.2508502145681444
"Neckarwestheim 1 (Neckar River) - Shutdown Jun 5, 2011",2011,2010-12-02,2014-03-11,success,0.09999999999999964,4.0,15.1,4.0,15.2,11.1,11.2
"Neckarwestheim 2 (Neckar River) - Shutdown Apr 15, 2023",2023,2020-02-16,2025-06-03,success,-0.125,12.714285714285714,18.5,12.714285714285714,18.375,5.7857142857142865,5.6607142857142865
