plant,company,city,state,energy_source,technology,chp,capacity_net_bnetza,commissioned_year,shutdown_year,status,is_nuclear,latitude,longitude,river,river_km,offset_m
Staudinger (1),Uniper Kraftwerke GmbH ,Großkrotzenburg,Hessen,Hard coal,Steam turbine,yes,249.0,1965.0,2013.0,shutdown,False,50.089,8.953,Main,62.863,518.48
Staudinger (3),Uniper Kraftwerke GmbH ,Großkrotzenburg,Hessen,Hard coal,Steam turbine,no,293.0,1970.0,2012.0,shutdown,False,50.089,8.953,Main,62.863,518.48
Staudinger (5),Uniper Kraftwerke GmbH ,Großkrotzenburg,Hessen,Hard coal,Steam turbine,yes,510.0,1992.0,,operating,False,50.089,8.953,Main,62.863,518.48
Staudinger (4),Uniper Kraftwerke GmbH ,Großkrotzenburg,Hessen,Natural gas,Steam turbine,no,572.0,1977.0,,operating,False,50.089,8.953,Main,62.863,518.48
HKW West (Block 2),Mainova AG,Frankfurt am Main,Hessen,Hard coal,Steam turbine,yes,61.5,1988.0,,operating,False,50.098,8.653,Main,35.658,218.549
HKW West (Block 3),Mainova AG,Frankfurt am Main,Hessen,Hard coal,Steam turbine,yes,61.5,1989.0,,operating,False,50.098,8.653,Main,35.658,218.549
HKW West (Block 4),Mainova AG,Frankfurt am Main,Hessen,Natural gas,Steam turbine,yes,99.0,1994.0,,operating,False,50.098,8.653,Main,35.658,218.549
HKW Niederrad (Block 1),Mainova AG,Frankfurt am Main,Hessen,Natural gas,Steam turbine,yes,70.0,2004.0,,operating,False,50.086,8.628,Main,33.193,442.978
HKW Niederrad (Block 2),Mainova AG,Frankfurt am Main,Hessen,Natural gas,Steam turbine,yes,56.0,,2017.0,shutdown,False,50.086,8.628,Main,33.193,442.978
Heizkraftwerk (Block B),Infraserv GmbH & Co. Höchst KG,Industriepark Höchst,Hessen,Hard coal,Steam turbine,yes,66.0,1989.0,,operating,False,50.092,8.531,Main,25.272,244.661
ADS-Anlage,Infraserv GmbH & Co. Höchst KG,Industriepark Höchst,Hessen,Natural gas,Steam turbine,yes,96.5,2012.0,,operating,False,50.092,8.531,Main,25.272,244.661
Heizkraftwerk (Block A),Infraserv GmbH & Co. Höchst KG,Industriepark Höchst,Hessen,Natural gas,Steam turbine,yes,86.0,2003.0,,operating,False,50.092,8.531,Main,25.272,244.661
GuD-Anlage Rüsselsheim (M120),Opel Automobile GmbH ,Rüsselheim,Hessen,Natural gas,Combined cycle,yes,112.1,1999.0,,operating,False,49.992,8.414,Main,10.727,654.288
Heizkraftwerk Altbach/Deizisau (ALT HKW 2 (DT Solobetrieb)),EnBW Energie Baden-Württemberg AG,Altbach,Baden-Württemberg,Hard coal,Steam turbine,yes,336.0,1997.0,,operating,False,48.718,9.375,Neckar,190.592,126.773
Heizkraftwerk Altbach/Deizisau (ALT HKW 1),EnBW Energie Baden-Württemberg AG,Altbach,Baden-Württemberg,Hard coal,Steam turbine,yes,433.0,1985.0,,operating,False,48.718,9.375,Neckar,190.592,126.773
Dampfkraftwerk Marbach am Neckar (Marbach III GT (solo)),EnBW Energie Baden-Württemberg AG,Marbach,Baden-Württemberg,Oil,Combined cycle,no,85.0,1975.0,,operating,False,48.927,9.23,Neckar,150.795,45.952
Dampfkraftwerk Marbach am Neckar (MAR III DT),EnBW Energie Baden-Württemberg AG,Marbach,Baden-Württemberg,Oil,Combined cycle,no,263.5,1975.0,,operating,False,48.927,9.23,Neckar,150.795,45.952
Kraftwerk Walheim (WAL 1),EnBW Energie Baden-Württemberg AG,Walheim,Baden-Württemberg,Hard coal,Steam turbine,no,96.0,1964.0,,operating,False,49.017,9.157,Neckar,129.236,83.28
Kraftwerk Walheim (WAL 2),EnBW Energie Baden-Württemberg AG,Walheim,Baden-Württemberg,Hard coal,Steam turbine,no,148.0,1967.0,,operating,False,49.017,9.157,Neckar,129.236,83.28
