outcome,site,river,event_year,spec,sample,unit,upstream_station,upstream_km,downstream_station,downstream_km,up_pre,up_post,down_pre,down_post,gap_pre,gap_post,did,std_error,min_detectable_effect,ci_low,ci_high,p_value,pooled_did,pooled_p_value,n_pre,n_post
water_temperature,Gundremmingen,Danube,2017,best_coverage_placebo,placebo_2014,°C,Neu-Ulm,39.0,Ingolstadt Luitpoldstr.,100.2,10.2907,10.7932,11.4863,11.6721,1.1957,0.8789,-0.3092,0.0658,0.1844,-0.4382,-0.1803,0.0,-0.3167,0.0,1082,731
water_temperature,Gundremmingen,Danube,2021,nearest_downstream,all_year,°C,Neu-Ulm,39.0,Donauwörth,46.1,11.1614,11.3984,12.0254,12.4773,0.8639,1.0789,0.2186,0.0601,0.1685,0.1008,0.3365,0.0003,0.215,0.0,1092,1094
water_temperature,Gundremmingen,Danube,2021,donut,donut_drop_1y_each_side,°C,Neu-Ulm,39.0,Donauwörth,46.1,11.0403,11.3134,11.8001,12.381,0.7598,1.0676,0.3127,0.0673,0.1886,0.1808,0.4446,0.0,0.3078,0.0,1089,731
water_temperature,Gundremmingen,Danube,2021,season_split,summer_jun_sep,°C,Neu-Ulm,39.0,Donauwörth,46.1,17.3694,17.6291,19.138,19.4258,1.7686,1.7967,0.0284,0.0884,0.2477,-0.1449,0.2016,0.7482,0.0281,0.0,366,364
water_temperature,Gundremmingen,Danube,2021,season_split,winter_oct_may,°C,Neu-Ulm,39.0,Donauwörth,46.1,8.0318,8.2916,8.4397,9.0126,0.4079,0.721,0.3141,0.0714,0.2001,0.1741,0.454,0.0,0.3131,0.0,726,730
water_temperature,Gundremmingen,Danube,2021,placebo,placebo_2018,°C,Neu-Ulm,39.0,Donauwörth,46.1,10.7777,10.883,11.3618,11.7855,0.5841,0.9025,0.3209,0.0635,0.1779,0.1964,0.4453,0.0,0.3184,0.0,1094,731
water_temperature,Gundremmingen,Danube,2021,distance_sensitivity,all_year,°C,Neu-Ulm,39.0,Ingolstadt Luitpoldstr.,100.2,11.1614,11.4138,12.2615,12.5204,1.1001,1.1067,0.0094,0.0534,0.1497,-0.0953,0.1141,0.86,0.0066,0.0,1092,1096
water_temperature,Gundremmingen,Danube,2021,best_coverage,all_year,°C,Neu-Ulm,39.0,Donauwörth,46.1,11.1614,11.3984,12.0254,12.4773,0.8639,1.0789,0.2186,0.0601,0.1685,0.1008,0.3365,0.0003,0.215,0.0,1092,1094
water_temperature,Isar,Isar,2011,nearest_downstream,all_year,°C,Landshut-Birket,16.4,Landau,33.8,11.5175,11.9995,13.4143,11.9652,1.8968,-0.0342,-1.931,0.1447,0.4054,-2.2146,-1.6474,0.0,-1.931,0.0,1096,1096
water_temperature,Isar,Isar,2011,donut,donut_drop_1y_each_side,°C,Landshut-Birket,16.4,Landau,33.8,12.1048,12.206,14.1486,12.1496,2.0437,-0.0564,-2.0787,0.136,0.3811,-2.3452,-1.8121,0.0,-2.1001,0.0,935,1087
water_temperature,Isar,Isar,2011,season_split,summer_jun_sep,°C,Landshut-Birket,16.4,Landau,33.8,17.6809,17.8866,19.4669,18.3634,1.7861,0.4768,-1.3093,0.205,0.5743,-1.711,-0.9076,0.0,-1.3093,0.0,366,366
water_temperature,Isar,Isar,2011,season_split,winter_oct_may,°C,Landshut-Birket,16.4,Landau,33.8,8.4274,9.0478,10.3797,8.7574,1.9523,-0.2904,-2.2427,0.1569,0.4395,-2.5502,-1.9353,0.0,-2.2427,0.0,730,730
water_temperature,Isar,Isar,2011,placebo,placebo_2008,°C,Landshut-Birket,16.4,Landau,33.8,13.5775,11.3499,15.423,13.0955,1.8456,1.7456,-0.2036,0.265,0.7426,-0.7231,0.3158,0.4423,-0.1,0.0,204,730
water_temperature,Isar,Isar,2011,best_coverage,all_year,°C,Landshut-Birket,16.4,Landau,33.8,11.5175,11.9995,13.4143,11.9652,1.8968,-0.0342,-1.931,0.1447,0.4054,-2.2146,-1.6474,0.0,-1.931,0.0,1096,1096
water_temperature,Isar,Isar,2023,nearest_downstream,all_year,°C,Landshut-Birket,16.4,Landau,33.8,12.3513,12.824,12.5432,12.876,0.1918,0.0519,-0.1434,0.0999,0.28,-0.3392,0.0525,0.1513,-0.1399,0.0,1089,366
water_temperature,Isar,Isar,2023,season_split,summer_jun_sep,°C,Landshut-Birket,16.4,Landau,33.8,18.7178,18.8475,19.5227,19.2713,0.8049,0.4238,-0.3811,0.1849,0.518,-0.7435,-0.0188,0.0392,-0.3811,0.0,366,122
water_temperature,Isar,Isar,2023,season_split,winter_oct_may,°C,Landshut-Birket,16.4,Landau,33.8,9.1285,9.8123,9.01,9.6783,-0.1185,-0.134,-0.0241,0.104,0.2914,-0.2279,0.1797,0.8168,-0.0155,0.0,723,244
water_temperature,Isar,Isar,2023,placebo,placebo_2020,°C,Landshut-Birket,16.4,Landau,33.8,12.5397,12.3992,12.4885,12.5382,-0.0512,0.139,0.1903,0.0885,0.2481,0.0167,0.3638,0.0316,0.1903,0.0,1095,730
water_temperature,Isar,Isar,2023,best_coverage,all_year,°C,Landshut-Birket,16.4,Landau,33.8,12.3513,12.824,12.5432,12.876,0.1918,0.0519,-0.1434,0.0999,0.28,-0.3392,0.0525,0.1513,-0.1399,0.0,1089,366
dissolved_oxygen,Grafenrheinfeld,Main,2015,nearest_downstream,all_year,mg/l,"SH Schweinfurt, km 332,0, OW",7.3,Erlabrunn KW-OW,88.0,10.0301,9.7375,10.1718,10.1,0.1417,0.3625,0.2208,0.2346,0.6574,-0.239,0.6807,0.3466,0.2208,0.0,36,36
